state,commodity,predicted_date,predicted_price,confidence_score
Andhra Pradesh,Arhar(Tur/Red Gram)(Whole),2026-01-29,8169.0,LOW
Andhra Pradesh,Arhar(Tur/Red Gram)(Whole),2026-01-30,8169.0,LOW
Andhra Pradesh,Arhar(Tur/Red Gram)(Whole),2026-01-31,8169.0,LOW
Andhra Pradesh,Bengal Gram(Gram)(Whole),2026-01-31,5259.38,MEDIUM
Andhra Pradesh,Bengal Gram(Gram)(Whole),2026-02-01,5312.5,MEDIUM
Andhra Pradesh,Bengal Gram(Gram)(Whole),2026-02-02,5365.62,MEDIUM
Andhra Pradesh,Black Gram(Urd Beans)(Whole),2026-01-29,8311.0,LOW
Andhra Pradesh,Black Gram(Urd Beans)(Whole),2026-01-30,8311.0,LOW
Andhra Pradesh,Black Gram(Urd Beans)(Whole),2026-01-31,8311.0,LOW
Andhra Pradesh,Cotton,2026-01-31,7914.0,HIGH
Andhra Pradesh,Cotton,2026-02-01,7870.0,HIGH
Andhra Pradesh,Cotton,2026-02-02,7826.0,HIGH
Andhra Pradesh,Groundnut,2026-01-31,7345.0,HIGH
Andhra Pradesh,Groundnut,2026-02-01,6709.0,HIGH
Andhra Pradesh,Groundnut,2026-02-02,6073.0,HIGH
Andhra Pradesh,Onion,2026-01-29,1485.0,LOW
Andhra Pradesh,Onion,2026-01-30,1485.0,LOW
Andhra Pradesh,Onion,2026-01-31,1485.0,LOW
Andhra Pradesh,Paddy(Common),2026-01-29,2350.0,LOW
Andhra Pradesh,Paddy(Common),2026-01-30,2350.0,LOW
Andhra Pradesh,Paddy(Common),2026-01-31,2350.0,LOW
Andhra Pradesh,Potato,2026-01-31,2000.0,HIGH
Andhra Pradesh,Potato,2026-02-01,2000.0,HIGH
Andhra Pradesh,Potato,2026-02-02,2000.0,HIGH
Andhra Pradesh,Tomato,2026-01-31,1181.96,HIGH
Andhra Pradesh,Tomato,2026-02-01,1138.87,HIGH
Andhra Pradesh,Tomato,2026-02-02,1095.78,HIGH
