state,commodity,price_date,price,price_type
Andhra Pradesh,Bengal Gram(Gram)(Whole),2026-01-31,5259.38,Predicted
Andhra Pradesh,Bengal Gram(Gram)(Whole),2026-02-01,5312.5,Predicted
Andhra Pradesh,Bengal Gram(Gram)(Whole),2026-02-02,5365.62,Predicted
Andhra Pradesh,Cotton,2026-02-01,7999.2,Predicted
Andhra Pradesh,Cotton,2026-02-02,8004.0,Predicted
Andhra Pradesh,Cotton,2026-02-03,8008.8,Predicted
Andhra Pradesh,Groundnut,2026-02-01,7163.0,Predicted
Andhra Pradesh,Groundnut,2026-02-02,6879.0,Predicted
Andhra Pradesh,Groundnut,2026-02-03,6595.0,Predicted
Andhra Pradesh,Paddy(Common),2026-02-01,2350.0,Predicted
Andhra Pradesh,Paddy(Common),2026-02-02,2350.0,Predicted
Andhra Pradesh,Paddy(Common),2026-02-03,2350.0,Predicted
Andhra Pradesh,Potato,2026-02-01,2000.0,Predicted
Andhra Pradesh,Potato,2026-02-02,2000.0,Predicted
Andhra Pradesh,Potato,2026-02-03,2000.0,Predicted
Andhra Pradesh,Tomato,2026-02-01,1255.68,Predicted
Andhra Pradesh,Tomato,2026-02-02,1257.95,Predicted
Andhra Pradesh,Tomato,2026-02-03,1260.22,Predicted
