state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,prediction_run_date
Andhra Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-04,5561.0,predicted,fallback_copy,LOW,5561.0,0.0,2026-02-06
Andhra Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-05,5561.0,predicted,fallback_copy,LOW,5561.0,0.0,2026-02-06
Andhra Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-06,5561.0,predicted,fallback_copy,LOW,5561.0,0.0,2026-02-06
Andhra Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-05,8201.66,predicted,hybrid_ma,MEDIUM,8569.0,569.0,2026-02-06
Andhra Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-06,8284.5,predicted,hybrid_ma,MEDIUM,8569.0,569.0,2026-02-06
Andhra Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-07,8367.34,predicted,hybrid_ma,MEDIUM,8569.0,569.0,2026-02-06
Andhra Pradesh,Fibre Crops,Cotton,,,2026-02-05,8075.0,predicted,hybrid_trend,HIGH,8069.0,10.0,2026-02-06
Andhra Pradesh,Fibre Crops,Cotton,,,2026-02-06,8079.0,predicted,hybrid_trend,HIGH,8069.0,10.0,2026-02-06
Andhra Pradesh,Fibre Crops,Cotton,,,2026-02-07,8083.0,predicted,hybrid_trend,HIGH,8069.0,10.0,2026-02-06
Andhra Pradesh,Oil Seeds,Groundnut,,,2026-02-05,7101.61,predicted,hybrid_trend,HIGH,7395.57,-489.9300000000003,2026-02-06
Andhra Pradesh,Oil Seeds,Groundnut,,,2026-02-06,6905.64,predicted,hybrid_trend,HIGH,7395.57,-489.9300000000003,2026-02-06
Andhra Pradesh,Oil Seeds,Groundnut,,,2026-02-07,6709.67,predicted,hybrid_trend,HIGH,7395.57,-489.9300000000003,2026-02-06
Andhra Pradesh,Vegetables,Onion,,,2026-02-05,1285.0,predicted,fallback_copy,LOW,1285.0,0.0,2026-02-06
Andhra Pradesh,Vegetables,Onion,,,2026-02-06,1285.0,predicted,fallback_copy,LOW,1285.0,0.0,2026-02-06
Andhra Pradesh,Vegetables,Onion,,,2026-02-07,1285.0,predicted,fallback_copy,LOW,1285.0,0.0,2026-02-06
Andhra Pradesh,Vegetables,Potato,,,2026-02-04,1980.0,predicted,hybrid_ma,MEDIUM,2000.0,0.0,2026-02-06
Andhra Pradesh,Vegetables,Potato,,,2026-02-05,2000.0,predicted,hybrid_ma,MEDIUM,2000.0,0.0,2026-02-06
Andhra Pradesh,Vegetables,Potato,,,2026-02-06,2020.0,predicted,hybrid_ma,MEDIUM,2000.0,0.0,2026-02-06
Andhra Pradesh,Oil Seeds,Sunflower Seed,,,2026-02-05,6331.0,predicted,fallback_copy,LOW,6331.0,0.0,2026-02-06
Andhra Pradesh,Oil Seeds,Sunflower Seed,,,2026-02-06,6331.0,predicted,fallback_copy,LOW,6331.0,0.0,2026-02-06
Andhra Pradesh,Oil Seeds,Sunflower Seed,,,2026-02-07,6331.0,predicted,fallback_copy,LOW,6331.0,0.0,2026-02-06
Andhra Pradesh,Vegetables,Tomato,,,2026-02-05,1113.78,predicted,hybrid_trend,HIGH,1177.65,-106.44999999999982,2026-02-06
Andhra Pradesh,Vegetables,Tomato,,,2026-02-06,1071.2,predicted,hybrid_trend,HIGH,1177.65,-106.44999999999982,2026-02-06
Andhra Pradesh,Vegetables,Tomato,,,2026-02-07,1028.62,predicted,hybrid_trend,HIGH,1177.65,-106.44999999999982,2026-02-06
