state,commodity,commodity_group,district,market,predicted_for_date,predicted_price,model_used,rmse,mae,mape,confidence_score,trained_till_date,prediction_run_date,base_last_price,trend_used,price_date,price,price_type
Andhra Pradesh,Bengal Gram(Gram)(Whole),Pulses,,,2026-03-03,4925.25,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,5011.0,72.0,2026-03-03,4925.25,predicted
Andhra Pradesh,Bengal Gram(Gram)(Whole),Pulses,,,2026-03-04,4975.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,5011.0,72.0,2026-03-04,4975.0,predicted
Andhra Pradesh,Bengal Gram(Gram)(Whole),Pulses,,,2026-03-05,5024.75,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,5011.0,72.0,2026-03-05,5024.75,predicted
Andhra Pradesh,Cotton,Fibre Crops,,,2026-03-03,7543.31,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,7680.0,121.0,2026-03-03,7543.31,predicted
Andhra Pradesh,Cotton,Fibre Crops,,,2026-03-04,7619.5,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,7680.0,121.0,2026-03-04,7619.5,predicted
Andhra Pradesh,Cotton,Fibre Crops,,,2026-03-05,7695.69,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,7680.0,121.0,2026-03-05,7695.69,predicted
Andhra Pradesh,Groundnut,Oil Seeds,,,2026-03-03,9089.71,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,8869.24,-624.5699999999997,2026-03-03,9089.71,predicted
Andhra Pradesh,Groundnut,Oil Seeds,,,2026-03-04,9181.52,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,8869.24,-624.5699999999997,2026-03-04,9181.52,predicted
Andhra Pradesh,Groundnut,Oil Seeds,,,2026-03-05,9273.34,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,8869.24,-624.5699999999997,2026-03-05,9273.34,predicted
Andhra Pradesh,Tomato,Vegetables,,,2026-03-03,1137.4,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,1128.41,14.990000000000009,2026-03-03,1137.4,predicted
Andhra Pradesh,Tomato,Vegetables,,,2026-03-04,1143.4,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,1128.41,14.990000000000009,2026-03-04,1143.4,predicted
Andhra Pradesh,Tomato,Vegetables,,,2026-03-05,1149.4,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-02,2026-03-04,1128.41,14.990000000000009,2026-03-05,1149.4,predicted
