state,commodity,predicted_date,predicted_price,confidence_score
Assam,Lentil(Masur)(Whole),2026-01-31,8771.63,HIGH
Assam,Lentil(Masur)(Whole),2026-02-01,8718.71,HIGH
Assam,Lentil(Masur)(Whole),2026-02-02,8665.79,HIGH
Assam,Onion,2026-01-31,2703.04,HIGH
Assam,Onion,2026-02-01,2700.84,HIGH
Assam,Onion,2026-02-02,2698.64,HIGH
Assam,Potato,2026-01-31,1224.33,HIGH
Assam,Potato,2026-02-01,1207.81,HIGH
Assam,Potato,2026-02-02,1191.29,HIGH
Assam,Tomato,2026-01-31,2121.31,HIGH
Assam,Tomato,2026-02-01,1919.99,HIGH
Assam,Tomato,2026-02-02,1718.67,HIGH
