state,commodity,commodity_group,district,market,predicted_for_date,predicted_price,model_used,rmse,mae,mape,confidence_score,trained_till_date,prediction_run_date,base_last_price,trend_used,price_date,price,price_type
Assam,Lentil(Masur)(Whole),Pulses,,,2026-03-11,9312.42,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,9410.57,8.170000000000073,2026-03-11,9312.42,predicted
Assam,Lentil(Masur)(Whole),Pulses,,,2026-03-12,9406.49,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,9410.57,8.170000000000073,2026-03-12,9406.49,predicted
Assam,Lentil(Masur)(Whole),Pulses,,,2026-03-13,9500.55,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,9410.57,8.170000000000073,2026-03-13,9500.55,predicted
Assam,Maize,Cereals,,,2026-03-11,1600.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,1600.0,0.0,2026-03-11,1600.0,predicted
Assam,Maize,Cereals,,,2026-03-12,1600.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,1600.0,0.0,2026-03-12,1600.0,predicted
Assam,Maize,Cereals,,,2026-03-13,1600.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,1600.0,0.0,2026-03-13,1600.0,predicted
Assam,Mustard,Oil Seeds,,,2026-03-11,6200.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,6200.0,0.0,2026-03-11,6200.0,predicted
Assam,Mustard,Oil Seeds,,,2026-03-12,6200.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,6200.0,0.0,2026-03-12,6200.0,predicted
Assam,Mustard,Oil Seeds,,,2026-03-13,6200.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,6200.0,0.0,2026-03-13,6200.0,predicted
Assam,Onion,Vegetables,,,2026-03-11,2034.35,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2053.99,-32.74000000000024,2026-03-11,2034.35,predicted
Assam,Onion,Vegetables,,,2026-03-12,2021.25,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2053.99,-32.74000000000024,2026-03-12,2021.25,predicted
Assam,Onion,Vegetables,,,2026-03-13,2008.15,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2053.99,-32.74000000000024,2026-03-13,2008.15,predicted
Assam,Paddy(Common),Cereals,,,2026-03-11,2100.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2100.0,0.0,2026-03-11,2100.0,predicted
Assam,Paddy(Common),Cereals,,,2026-03-12,2100.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2100.0,0.0,2026-03-12,2100.0,predicted
Assam,Paddy(Common),Cereals,,,2026-03-13,2100.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2100.0,0.0,2026-03-13,2100.0,predicted
Assam,Potato,Vegetables,,,2026-03-11,1123.26,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,1100.69,37.61000000000013,2026-03-11,1123.26,predicted
Assam,Potato,Vegetables,,,2026-03-12,1138.3,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,1100.69,37.61000000000013,2026-03-12,1138.3,predicted
Assam,Potato,Vegetables,,,2026-03-13,1153.34,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,1100.69,37.61000000000013,2026-03-13,1153.34,predicted
Assam,Tomato,Vegetables,,,2026-03-11,2468.66,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2321.21,245.75,2026-03-11,2468.66,predicted
Assam,Tomato,Vegetables,,,2026-03-12,2566.96,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2321.21,245.75,2026-03-12,2566.96,predicted
Assam,Tomato,Vegetables,,,2026-03-13,2665.26,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-10,2026-03-12,2321.21,245.75,2026-03-13,2665.26,predicted
