state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-25,7025.13,0.4,BOOTSTRAP
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-26,7009.81,0.4,BOOTSTRAP
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-27,7188.03,0.4,BOOTSTRAP
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-25,2641.98,0.4,BOOTSTRAP
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-26,2631.04,0.4,BOOTSTRAP
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-27,2646.1,0.4,BOOTSTRAP
Gujarat,Pulses,Bengal Gram(Gram)(Whole),2026-01-25,6842.54,0.4,BOOTSTRAP
Gujarat,Pulses,Bengal Gram(Gram)(Whole),2026-01-26,6750.43,0.4,BOOTSTRAP
Gujarat,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,6662.91,0.4,BOOTSTRAP
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),2026-01-25,6672.37,0.4,BOOTSTRAP
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),2026-01-26,6865.46,0.4,BOOTSTRAP
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,6665.41,0.4,BOOTSTRAP
Gujarat,Fibre Crops,Cotton,2026-01-25,7683.35,0.4,BOOTSTRAP
Gujarat,Fibre Crops,Cotton,2026-01-26,7922.99,0.4,BOOTSTRAP
Gujarat,Fibre Crops,Cotton,2026-01-27,7504.99,0.4,BOOTSTRAP
Gujarat,Pulses,Green Gram(Moong)(Whole),2026-01-25,6613.03,0.4,BOOTSTRAP
Gujarat,Pulses,Green Gram(Moong)(Whole),2026-01-26,6289.8,0.4,BOOTSTRAP
Gujarat,Pulses,Green Gram(Moong)(Whole),2026-01-27,6392.01,0.4,BOOTSTRAP
Gujarat,Oil Seeds,Groundnut,2026-01-25,6981.43,0.4,BOOTSTRAP
Gujarat,Oil Seeds,Groundnut,2026-01-26,6852.34,0.4,BOOTSTRAP
Gujarat,Oil Seeds,Groundnut,2026-01-27,6909.5,0.4,BOOTSTRAP
Gujarat,Cereals,Jowar(Sorghum),2026-01-25,4722.99,0.4,BOOTSTRAP
Gujarat,Cereals,Jowar(Sorghum),2026-01-26,4930.75,0.4,BOOTSTRAP
Gujarat,Cereals,Jowar(Sorghum),2026-01-27,4795.63,0.4,BOOTSTRAP
Gujarat,Cereals,Maize,2026-01-25,1991.17,0.4,BOOTSTRAP
Gujarat,Cereals,Maize,2026-01-26,1948.46,0.4,BOOTSTRAP
Gujarat,Cereals,Maize,2026-01-27,1972.57,0.4,BOOTSTRAP
Gujarat,Oil Seeds,Mustard,2026-01-25,6171.6,0.4,BOOTSTRAP
Gujarat,Oil Seeds,Mustard,2026-01-26,6357.16,0.4,BOOTSTRAP
Gujarat,Oil Seeds,Mustard,2026-01-27,6120.52,0.4,BOOTSTRAP
Gujarat,Vegetables,Onion,2026-01-27,1300.98,0.85,ARIMA
Gujarat,Vegetables,Onion,2026-01-28,1258.68,0.85,ARIMA
Gujarat,Vegetables,Onion,2026-01-29,1300.86,0.85,ARIMA
Gujarat,Cereals,Paddy(Common),2026-01-25,2261.88,0.4,BOOTSTRAP
Gujarat,Cereals,Paddy(Common),2026-01-26,2218.57,0.4,BOOTSTRAP
Gujarat,Cereals,Paddy(Common),2026-01-27,2227.37,0.4,BOOTSTRAP
Gujarat,Vegetables,Potato,2026-01-27,1366.98,0.85,ARIMA
Gujarat,Vegetables,Potato,2026-01-28,950.24,0.85,ARIMA
Gujarat,Vegetables,Potato,2026-01-29,1366.94,0.85,ARIMA
Gujarat,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-25,9032.95,0.4,BOOTSTRAP
Gujarat,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-26,9084.38,0.4,BOOTSTRAP
Gujarat,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-27,9096.45,0.4,BOOTSTRAP
Gujarat,Oil Seeds,Soyabean,2026-01-27,4551.57,0.65,MA
Gujarat,Oil Seeds,Soyabean,2026-01-28,4594.39,0.65,MA
Gujarat,Oil Seeds,Soyabean,2026-01-29,4480.02,0.65,MA
Gujarat,Vegetables,Tomato,2026-01-27,1759.04,0.85,ARIMA
Gujarat,Vegetables,Tomato,2026-01-28,1789.62,0.85,ARIMA
Gujarat,Vegetables,Tomato,2026-01-29,1800.27,0.85,ARIMA
Gujarat,Cereals,Wheat,2026-01-25,2628.71,0.4,BOOTSTRAP
Gujarat,Cereals,Wheat,2026-01-26,2618.96,0.4,BOOTSTRAP
Gujarat,Cereals,Wheat,2026-01-27,2644.28,0.4,BOOTSTRAP
