state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,rmse,mae,mape,prediction_run_date
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-15,7155.59,predicted,hybrid_trend,LOW,7184.5,-48.1899999999996,,,,2026-02-16
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-16,7136.31,predicted,hybrid_trend,LOW,7184.5,-48.1899999999996,,,,2026-02-16
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-17,7117.03,predicted,hybrid_trend,LOW,7184.5,-48.1899999999996,,,,2026-02-16
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-15,2393.87,predicted,hybrid_trend,LOW,2413.21,-32.23999999999978,,,,2026-02-16
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-16,2380.97,predicted,hybrid_trend,LOW,2413.21,-32.23999999999978,,,,2026-02-16
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-17,2368.07,predicted,hybrid_trend,LOW,2413.21,-32.23999999999978,,,,2026-02-16
Gujarat,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-15,5484.51,predicted,hybrid_trend,LOW,5443.34,68.61000000000058,,,,2026-02-16
Gujarat,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-16,5511.95,predicted,hybrid_trend,LOW,5443.34,68.61000000000058,,,,2026-02-16
Gujarat,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-17,5539.39,predicted,hybrid_trend,LOW,5443.34,68.61000000000058,,,,2026-02-16
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-15,7821.38,predicted,hybrid_trend,LOW,7584.67,394.52000000000044,,,,2026-02-16
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-16,7979.19,predicted,hybrid_trend,LOW,7584.67,394.52000000000044,,,,2026-02-16
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-17,8137.0,predicted,hybrid_trend,LOW,7584.67,394.52000000000044,,,,2026-02-16
Gujarat,Fibre Crops,Cotton,,,2026-02-15,7727.86,predicted,hybrid_trend,LOW,7730.85,-4.979999999999563,,,,2026-02-16
Gujarat,Fibre Crops,Cotton,,,2026-02-16,7725.87,predicted,hybrid_trend,LOW,7730.85,-4.979999999999563,,,,2026-02-16
Gujarat,Fibre Crops,Cotton,,,2026-02-17,7723.88,predicted,hybrid_trend,LOW,7730.85,-4.979999999999563,,,,2026-02-16
Gujarat,Pulses,Green Gram(Moong)(Whole),,,2026-02-15,6826.42,predicted,hybrid_trend,LOW,7115.64,-482.02999999999975,,,,2026-02-16
Gujarat,Pulses,Green Gram(Moong)(Whole),,,2026-02-16,6633.61,predicted,hybrid_trend,LOW,7115.64,-482.02999999999975,,,,2026-02-16
Gujarat,Pulses,Green Gram(Moong)(Whole),,,2026-02-17,6440.8,predicted,hybrid_trend,LOW,7115.64,-482.02999999999975,,,,2026-02-16
Gujarat,Oil Seeds,Groundnut,,,2026-02-15,7110.31,predicted,hybrid_trend,LOW,7187.12,-128.02000000000044,,,,2026-02-16
Gujarat,Oil Seeds,Groundnut,,,2026-02-16,7059.1,predicted,hybrid_trend,LOW,7187.12,-128.02000000000044,,,,2026-02-16
Gujarat,Oil Seeds,Groundnut,,,2026-02-17,7007.89,predicted,hybrid_trend,LOW,7187.12,-128.02000000000044,,,,2026-02-16
Gujarat,Cereals,Jowar(Sorghum),,,2026-02-15,5511.85,predicted,hybrid_trend,LOW,5440.19,119.42999999999938,,,,2026-02-16
Gujarat,Cereals,Jowar(Sorghum),,,2026-02-16,5559.62,predicted,hybrid_trend,LOW,5440.19,119.42999999999938,,,,2026-02-16
Gujarat,Cereals,Jowar(Sorghum),,,2026-02-17,5607.39,predicted,hybrid_trend,LOW,5440.19,119.42999999999938,,,,2026-02-16
Gujarat,Cereals,Maize,,,2026-02-15,1881.0,predicted,hybrid_ma,LOW,1800.0,-200.0,,,,2026-02-16
Gujarat,Cereals,Maize,,,2026-02-16,1900.0,predicted,hybrid_ma,LOW,1800.0,-200.0,,,,2026-02-16
Gujarat,Cereals,Maize,,,2026-02-17,1919.0,predicted,hybrid_ma,LOW,1800.0,-200.0,,,,2026-02-16
Gujarat,Oil Seeds,Mustard,,,2026-02-15,5932.88,predicted,hybrid_trend,LOW,5983.89,-85.01999999999953,,,,2026-02-16
Gujarat,Oil Seeds,Mustard,,,2026-02-16,5898.87,predicted,hybrid_trend,LOW,5983.89,-85.01999999999953,,,,2026-02-16
Gujarat,Oil Seeds,Mustard,,,2026-02-17,5864.86,predicted,hybrid_trend,LOW,5983.89,-85.01999999999953,,,,2026-02-16
