state,commodity,commodity_group,district,market,predicted_for_date,predicted_price,model_used,rmse,mae,mape,confidence_score,trained_till_date,prediction_run_date,base_last_price,trend_used,price_date,price,price_type
Gujarat,Arhar(Tur/Red Gram)(Whole),Pulses,,,2026-04-01,6930.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,6500.0,-1000.0,2026-04-01,6930.0,predicted
Gujarat,Arhar(Tur/Red Gram)(Whole),Pulses,,,2026-04-02,7000.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,6500.0,-1000.0,2026-04-02,7000.0,predicted
Gujarat,Arhar(Tur/Red Gram)(Whole),Pulses,,,2026-04-03,7070.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,6500.0,-1000.0,2026-04-03,7070.0,predicted
Gujarat,Bengal Gram(Gram)(Whole),Pulses,,,2026-04-01,5259.38,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,5325.0,25.0,2026-04-01,5259.38,predicted
Gujarat,Bengal Gram(Gram)(Whole),Pulses,,,2026-04-02,5312.5,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,5325.0,25.0,2026-04-02,5312.5,predicted
Gujarat,Bengal Gram(Gram)(Whole),Pulses,,,2026-04-03,5365.62,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,5325.0,25.0,2026-04-03,5365.62,predicted
Gujarat,Cotton,Fibre Crops,,,2026-04-01,7693.01,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,7765.98,-9.470000000000255,2026-04-01,7693.01,predicted
Gujarat,Cotton,Fibre Crops,,,2026-04-02,7770.72,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,7765.98,-9.470000000000255,2026-04-02,7770.72,predicted
Gujarat,Cotton,Fibre Crops,,,2026-04-03,7848.42,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,7765.98,-9.470000000000255,2026-04-03,7848.42,predicted
Gujarat,Maize,Cereals,,,2026-03-31,1550.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-30,2026-04-02,1550.0,0.0,2026-03-31,1550.0,predicted
Gujarat,Maize,Cereals,,,2026-04-01,1550.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-30,2026-04-02,1550.0,0.0,2026-04-01,1550.0,predicted
Gujarat,Maize,Cereals,,,2026-04-02,1550.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-30,2026-04-02,1550.0,0.0,2026-04-02,1550.0,predicted
Gujarat,Onion,Vegetables,,,2026-04-01,884.86,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,1006.15,-202.14999999999998,2026-04-01,884.86,predicted
Gujarat,Onion,Vegetables,,,2026-04-02,804.0,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,1006.15,-202.14999999999998,2026-04-02,804.0,predicted
Gujarat,Onion,Vegetables,,,2026-04-03,723.14,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,1006.15,-202.14999999999998,2026-04-03,723.14,predicted
Gujarat,Paddy(Common),Cereals,,,2026-04-01,2346.8,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,2371.0,1.0,2026-04-01,2346.8,predicted
Gujarat,Paddy(Common),Cereals,,,2026-04-02,2370.5,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,2371.0,1.0,2026-04-02,2370.5,predicted
Gujarat,Paddy(Common),Cereals,,,2026-04-03,2394.2,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,2371.0,1.0,2026-04-03,2394.2,predicted
Gujarat,Potato,Vegetables,,,2026-04-01,877.28,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,866.7,17.629999999999995,2026-04-01,877.28,predicted
Gujarat,Potato,Vegetables,,,2026-04-02,884.33,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,866.7,17.629999999999995,2026-04-02,884.33,predicted
Gujarat,Potato,Vegetables,,,2026-04-03,891.38,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,866.7,17.629999999999995,2026-04-03,891.38,predicted
Gujarat,Tomato,Vegetables,,,2026-04-01,1097.09,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,992.19,174.84000000000003,2026-04-01,1097.09,predicted
Gujarat,Tomato,Vegetables,,,2026-04-02,1167.03,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,992.19,174.84000000000003,2026-04-02,1167.03,predicted
Gujarat,Tomato,Vegetables,,,2026-04-03,1236.97,hybrid_trend,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,992.19,174.84000000000003,2026-04-03,1236.97,predicted
Gujarat,Wheat,Cereals,,,2026-04-01,2543.71,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,2563.93,-10.940000000000055,2026-04-01,2543.71,predicted
Gujarat,Wheat,Cereals,,,2026-04-02,2569.4,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,2563.93,-10.940000000000055,2026-04-02,2569.4,predicted
Gujarat,Wheat,Cereals,,,2026-04-03,2595.09,hybrid_ma,0.0,0.0,0.0,LOW,2026-03-31,2026-04-02,2563.93,-10.940000000000055,2026-04-03,2595.09,predicted
