state,commodity,price_date,price,price_type
Haryana,Bajra(Pearl Millet/Cumbu),2026-02-01,1844.0,Predicted
Haryana,Bajra(Pearl Millet/Cumbu),2026-02-02,1840.0,Predicted
Haryana,Bajra(Pearl Millet/Cumbu),2026-02-03,1836.0,Predicted
Haryana,Bengal Gram(Gram)(Whole),2026-02-01,5091.07,Predicted
Haryana,Bengal Gram(Gram)(Whole),2026-02-02,5142.5,Predicted
Haryana,Bengal Gram(Gram)(Whole),2026-02-03,5193.93,Predicted
Haryana,Cotton,2026-02-01,7562.44,Predicted
Haryana,Cotton,2026-02-02,7576.93,Predicted
Haryana,Cotton,2026-02-03,7591.42,Predicted
Haryana,Green Gram(Moong)(Whole),2026-01-31,6355.0,Predicted
Haryana,Green Gram(Moong)(Whole),2026-02-01,6355.0,Predicted
Haryana,Green Gram(Moong)(Whole),2026-02-02,6355.0,Predicted
Haryana,Mustard,2026-02-01,6682.5,Predicted
Haryana,Mustard,2026-02-02,6750.0,Predicted
Haryana,Mustard,2026-02-03,6817.5,Predicted
Haryana,Onion,2026-02-01,2099.93,Predicted
Haryana,Onion,2026-02-02,2227.55,Predicted
Haryana,Onion,2026-02-03,2355.17,Predicted
Haryana,Paddy(Common),2026-02-01,4424.01,Predicted
Haryana,Paddy(Common),2026-02-02,4560.36,Predicted
Haryana,Paddy(Common),2026-02-03,4696.71,Predicted
Haryana,Potato,2026-02-01,381.08,Predicted
Haryana,Potato,2026-02-02,299.14,Predicted
Haryana,Potato,2026-02-03,217.2,Predicted
Haryana,Tomato,2026-02-01,2177.44,Predicted
Haryana,Tomato,2026-02-02,2217.08,Predicted
Haryana,Tomato,2026-02-03,2256.72,Predicted
