state,commodity_group,commodity,source_date,price_date,price,is_predicted,model_used,confidence_score,predicted_date,predicted_price
Karnataka,Cereals,Jowar(Sorghum),2026-01-30,2026-01-27,3826.0,False,,,,
Karnataka,Cereals,Maize,2026-01-30,2026-01-27,1810.0,False,,,,
Karnataka,Cereals,Paddy(Common),2026-01-30,2026-01-28,2528.46,False,,,,
Karnataka,Cereals,Paddy(Common),2026-01-30,2026-01-27,2422.61,False,,,,
Karnataka,Cereals,Paddy(Common),2026-01-30,2026-01-26,2600.0,False,,,,
Karnataka,Fibre Crops,Cotton,2026-01-30,2026-01-28,7900.0,False,,,,
Karnataka,Fibre Crops,Cotton,2026-01-30,2026-01-27,7900.0,False,,,,
Karnataka,Oil Seeds,Groundnut,2026-01-30,2026-01-28,9835.0,False,,,,
Karnataka,Oil Seeds,Groundnut,2026-01-30,2026-01-27,9865.0,False,,,,
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,2026-01-28,8409.0,False,,,,
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,2026-01-27,8289.26,False,,,,
Karnataka,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,2026-01-28,5676.0,False,,,,
Karnataka,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,2026-01-27,5689.0,False,,,,
Karnataka,,Arhar(Tur/Red Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-29,8265.64
Karnataka,,Arhar(Tur/Red Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-30,8349.13
Karnataka,,Arhar(Tur/Red Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-31,8432.62
Karnataka,,Bengal Gram(Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-29,5625.68
Karnataka,,Bengal Gram(Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-30,5682.5
Karnataka,,Bengal Gram(Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-31,5739.32
Karnataka,,Cotton,,,,True,HYBRID_MODEL,,2026-01-29,7821.0
Karnataka,,Cotton,,,,True,HYBRID_MODEL,,2026-01-30,7900.0
Karnataka,,Cotton,,,,True,HYBRID_MODEL,,2026-01-31,7979.0
Karnataka,,Groundnut,,,,True,HYBRID_MODEL,,2026-01-29,9751.5
Karnataka,,Groundnut,,,,True,HYBRID_MODEL,,2026-01-30,9850.0
Karnataka,,Groundnut,,,,True,HYBRID_MODEL,,2026-01-31,9948.5
Karnataka,,Jowar(Sorghum),,,,True,HYBRID_MODEL,,2026-01-28,3826.0
Karnataka,,Jowar(Sorghum),,,,True,HYBRID_MODEL,,2026-01-29,3826.0
Karnataka,,Jowar(Sorghum),,,,True,HYBRID_MODEL,,2026-01-30,3826.0
Karnataka,,Maize,,,,True,HYBRID_MODEL,,2026-01-28,1810.0
Karnataka,,Maize,,,,True,HYBRID_MODEL,,2026-01-29,1810.0
Karnataka,,Maize,,,,True,HYBRID_MODEL,,2026-01-30,1810.0
Karnataka,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-01-29,2591.97
Karnataka,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-01-30,2634.31
Karnataka,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-01-31,2676.65
