state,commodity,price_date,price,price_type
Karnataka,Arhar(Tur/Red Gram)(Whole),2026-02-01,8431.03,Predicted
Karnataka,Arhar(Tur/Red Gram)(Whole),2026-02-02,8359.84,Predicted
Karnataka,Arhar(Tur/Red Gram)(Whole),2026-02-03,8288.65,Predicted
Karnataka,Bengal Gram(Gram)(Whole),2026-02-01,5667.0,Predicted
Karnataka,Bengal Gram(Gram)(Whole),2026-02-02,5745.0,Predicted
Karnataka,Bengal Gram(Gram)(Whole),2026-02-03,5823.0,Predicted
Karnataka,Cotton,2026-02-01,7848.96,Predicted
Karnataka,Cotton,2026-02-02,7925.6,Predicted
Karnataka,Cotton,2026-02-03,8002.24,Predicted
Karnataka,Groundnut,2026-02-01,6400.8,Predicted
Karnataka,Groundnut,2026-02-02,5842.0,Predicted
Karnataka,Groundnut,2026-02-03,5283.2,Predicted
Karnataka,Maize,2026-01-31,1753.0,Predicted
Karnataka,Maize,2026-02-01,1753.0,Predicted
Karnataka,Maize,2026-02-02,1753.0,Predicted
Karnataka,Paddy(Common),2026-02-01,2498.4,Predicted
Karnataka,Paddy(Common),2026-02-02,2420.0,Predicted
Karnataka,Paddy(Common),2026-02-03,2341.6,Predicted
Karnataka,Soyabean,2026-01-30,5225.0,Predicted
Karnataka,Soyabean,2026-01-31,5225.0,Predicted
Karnataka,Soyabean,2026-02-01,5225.0,Predicted
