state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,rmse,mae,mape,prediction_run_date
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-15,7729.0,predicted,fallback_copy,LOW,7729.0,0.0,,,,2026-02-16
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-16,7729.0,predicted,fallback_copy,LOW,7729.0,0.0,,,,2026-02-16
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-17,7729.0,predicted,fallback_copy,LOW,7729.0,0.0,,,,2026-02-16
Karnataka,Fibre Crops,Cotton,,,2026-02-15,8045.8,predicted,hybrid_trend,LOW,8125.0,-132.0,,,,2026-02-16
Karnataka,Fibre Crops,Cotton,,,2026-02-16,7993.0,predicted,hybrid_trend,LOW,8125.0,-132.0,,,,2026-02-16
Karnataka,Fibre Crops,Cotton,,,2026-02-17,7940.2,predicted,hybrid_trend,LOW,8125.0,-132.0,,,,2026-02-16
Karnataka,Oil Seeds,Groundnut,,,2026-02-15,8496.0,predicted,fallback_copy,LOW,8496.0,0.0,,,,2026-02-16
Karnataka,Oil Seeds,Groundnut,,,2026-02-16,8496.0,predicted,fallback_copy,LOW,8496.0,0.0,,,,2026-02-16
Karnataka,Oil Seeds,Groundnut,,,2026-02-17,8496.0,predicted,fallback_copy,LOW,8496.0,0.0,,,,2026-02-16
Karnataka,Cereals,Paddy(Common),,,2026-02-15,2415.11,predicted,hybrid_ma,LOW,2629.0,379.0,,,,2026-02-16
Karnataka,Cereals,Paddy(Common),,,2026-02-16,2439.5,predicted,hybrid_ma,LOW,2629.0,379.0,,,,2026-02-16
Karnataka,Cereals,Paddy(Common),,,2026-02-17,2463.89,predicted,hybrid_ma,LOW,2629.0,379.0,,,,2026-02-16
