state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Kerala,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-27,11567.56,0.65,MA
Kerala,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,11829.98,0.65,MA
Kerala,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-29,12024.51,0.65,MA
Kerala,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,8006.75,0.65,MA
Kerala,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,7929.02,0.65,MA
Kerala,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,7967.82,0.65,MA
Kerala,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,11643.67,0.65,MA
Kerala,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,11911.47,0.65,MA
Kerala,Pulses,Black Gram(Urd Beans)(Whole),2026-01-29,11412.55,0.65,MA
Kerala,Oil Seeds,Copra,2026-01-27,20317.81,0.65,MA
Kerala,Oil Seeds,Copra,2026-01-28,20266.67,0.65,MA
Kerala,Oil Seeds,Copra,2026-01-29,20962.57,0.65,MA
Kerala,Pulses,Green Gram(Moong)(Whole),2026-01-27,10778.84,0.65,MA
Kerala,Pulses,Green Gram(Moong)(Whole),2026-01-28,10767.8,0.65,MA
Kerala,Pulses,Green Gram(Moong)(Whole),2026-01-29,10670.89,0.65,MA
Kerala,Vegetables,Onion,2026-01-27,3180.84,0.85,ARIMA
Kerala,Vegetables,Onion,2026-01-28,3425.47,0.85,ARIMA
Kerala,Vegetables,Onion,2026-01-29,3241.95,0.85,ARIMA
Kerala,Vegetables,Potato,2026-01-27,3339.79,0.85,ARIMA
Kerala,Vegetables,Potato,2026-01-28,3470.96,0.85,ARIMA
Kerala,Vegetables,Potato,2026-01-29,3339.82,0.85,ARIMA
Kerala,Vegetables,Tomato,2026-01-27,3295.74,0.85,ARIMA
Kerala,Vegetables,Tomato,2026-01-28,3655.36,0.85,ARIMA
Kerala,Vegetables,Tomato,2026-01-29,3295.79,0.85,ARIMA
