state,commodity,commodity_group,district,market,predicted_for_date,predicted_price,model_used,rmse,mae,mape,confidence_score,trained_till_date,prediction_run_date,base_last_price,trend_used,price_date,price,price_type
Kerala,Arhar(Tur/Red Gram)(Whole),Pulses,,,2026-02-15,12243.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,12366.67,0.0,2026-02-15,12243.0,predicted
Kerala,Arhar(Tur/Red Gram)(Whole),Pulses,,,2026-02-16,12366.67,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,12366.67,0.0,2026-02-16,12366.67,predicted
Kerala,Arhar(Tur/Red Gram)(Whole),Pulses,,,2026-02-17,12490.34,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,12366.67,0.0,2026-02-17,12490.34,predicted
Kerala,Bengal Gram(Gram)(Whole),Pulses,,,2026-02-15,8043.75,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,8200.0,150.0,2026-02-15,8043.75,predicted
Kerala,Bengal Gram(Gram)(Whole),Pulses,,,2026-02-16,8125.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,8200.0,150.0,2026-02-16,8125.0,predicted
Kerala,Bengal Gram(Gram)(Whole),Pulses,,,2026-02-17,8206.25,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,8200.0,150.0,2026-02-17,8206.25,predicted
Kerala,Black Gram(Urd Beans)(Whole),Pulses,,,2026-02-15,12209.17,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,12525.0,385.0,2026-02-15,12209.17,predicted
Kerala,Black Gram(Urd Beans)(Whole),Pulses,,,2026-02-16,12332.5,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,12525.0,385.0,2026-02-16,12332.5,predicted
Kerala,Black Gram(Urd Beans)(Whole),Pulses,,,2026-02-17,12455.83,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,12525.0,385.0,2026-02-17,12455.83,predicted
Kerala,Copra,Oil Seeds,,,2026-02-15,20908.14,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,20729.73,-779.2000000000007,2026-02-15,20908.14,predicted
Kerala,Copra,Oil Seeds,,,2026-02-16,21119.33,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,20729.73,-779.2000000000007,2026-02-16,21119.33,predicted
Kerala,Copra,Oil Seeds,,,2026-02-17,21330.52,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,20729.73,-779.2000000000007,2026-02-17,21330.52,predicted
Kerala,Green Gram(Moong)(Whole),Pulses,,,2026-02-15,11352.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,11700.0,466.6700000000001,2026-02-15,11352.0,predicted
Kerala,Green Gram(Moong)(Whole),Pulses,,,2026-02-16,11466.67,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,11700.0,466.6700000000001,2026-02-16,11466.67,predicted
Kerala,Green Gram(Moong)(Whole),Pulses,,,2026-02-17,11581.33,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-14,2026-02-17,11700.0,466.6700000000001,2026-02-17,11581.33,predicted
Kerala,Onion,Vegetables,,,2026-02-16,3517.02,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,3177.76,565.4300000000003,2026-02-16,3517.02,predicted
Kerala,Onion,Vegetables,,,2026-02-17,3743.19,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,3177.76,565.4300000000003,2026-02-17,3743.19,predicted
Kerala,Onion,Vegetables,,,2026-02-18,3969.36,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,3177.76,565.4300000000003,2026-02-18,3969.36,predicted
Kerala,Potato,Vegetables,,,2026-02-16,2831.53,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,2737.04,157.48999999999978,2026-02-16,2831.53,predicted
Kerala,Potato,Vegetables,,,2026-02-17,2894.53,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,2737.04,157.48999999999978,2026-02-17,2894.53,predicted
Kerala,Potato,Vegetables,,,2026-02-18,2957.53,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,2737.04,157.48999999999978,2026-02-18,2957.53,predicted
Kerala,Tomato,Vegetables,,,2026-02-16,1447.86,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,2279.21,-1385.5900000000001,2026-02-16,1447.86,predicted
Kerala,Tomato,Vegetables,,,2026-02-17,893.62,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,2279.21,-1385.5900000000001,2026-02-17,893.62,predicted
Kerala,Tomato,Vegetables,,,2026-02-18,339.38,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-15,2026-02-17,2279.21,-1385.5900000000001,2026-02-18,339.38,predicted
