state,commodity_group,commodity,source_date,price_date,price,is_predicted,model_used,confidence_score,predicted_date,predicted_price
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-31,2026-01-29,2790.77,False,,,,
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-31,2026-01-28,1917.98,False,,,,
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-31,2026-01-27,1848.65,False,,,,
Madhya Pradesh,Cereals,Barley(Jau),2026-01-31,2026-01-29,2342.52,False,,,,
Madhya Pradesh,Cereals,Barley(Jau),2026-01-31,2026-01-28,2316.81,False,,,,
Madhya Pradesh,Cereals,Barley(Jau),2026-01-31,2026-01-27,2391.17,False,,,,
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-31,2026-01-29,5707.71,False,,,,
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-31,2026-01-27,6580.0,False,,,,
Madhya Pradesh,Cereals,Maize,2026-01-31,2026-01-29,1541.8,False,,,,
Madhya Pradesh,Cereals,Maize,2026-01-31,2026-01-28,1558.05,False,,,,
Madhya Pradesh,Cereals,Maize,2026-01-31,2026-01-27,1548.76,False,,,,
Madhya Pradesh,Cereals,Paddy(Common),2026-01-31,2026-01-29,3735.94,False,,,,
Madhya Pradesh,Cereals,Paddy(Common),2026-01-31,2026-01-28,3741.8,False,,,,
Madhya Pradesh,Cereals,Paddy(Common),2026-01-31,2026-01-27,3767.87,False,,,,
Madhya Pradesh,Cereals,Wheat,2026-01-31,2026-01-29,2505.99,False,,,,
Madhya Pradesh,Cereals,Wheat,2026-01-31,2026-01-28,2539.32,False,,,,
Madhya Pradesh,Cereals,Wheat,2026-01-31,2026-01-27,2529.62,False,,,,
Madhya Pradesh,Fibre Crops,Cotton,2026-01-31,2026-01-29,7609.07,False,,,,
Madhya Pradesh,Fibre Crops,Cotton,2026-01-31,2026-01-28,7590.91,False,,,,
Madhya Pradesh,Fibre Crops,Cotton,2026-01-31,2026-01-27,7658.17,False,,,,
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-31,2026-01-29,7054.49,False,,,,
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-31,2026-01-28,6201.89,False,,,,
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-31,2026-01-27,6363.89,False,,,,
Madhya Pradesh,Oil Seeds,Mustard,2026-01-31,2026-01-29,6288.25,False,,,,
Madhya Pradesh,Oil Seeds,Mustard,2026-01-31,2026-01-28,6493.71,False,,,,
Madhya Pradesh,Oil Seeds,Mustard,2026-01-31,2026-01-27,6283.9,False,,,,
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-01-31,2026-01-29,9250.0,False,,,,
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-01-31,2026-01-27,9600.0,False,,,,
Madhya Pradesh,Oil Seeds,Safflower,2026-01-31,2026-01-28,3245.0,False,,,,
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-31,2026-01-29,8018.22,False,,,,
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-31,2026-01-28,8641.47,False,,,,
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-31,2026-01-27,8009.16,False,,,,
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-31,2026-01-29,5640.95,False,,,,
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-31,2026-01-28,5534.33,False,,,,
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-31,2026-01-27,5448.02,False,,,,
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-31,2026-01-29,7657.1,False,,,,
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-31,2026-01-28,7704.95,False,,,,
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-31,2026-01-27,7123.33,False,,,,
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-31,2026-01-29,5516.82,False,,,,
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-31,2026-01-28,5557.72,False,,,,
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-31,2026-01-27,5522.37,False,,,,
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-31,2026-01-29,7862.74,False,,,,
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-31,2026-01-28,7644.65,False,,,,
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-31,2026-01-27,7814.13,False,,,,
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-31,2026-01-29,6964.94,False,,,,
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-31,2026-01-28,7511.9,False,,,,
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-31,2026-01-27,7745.27,False,,,,
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-31,2026-01-29,6360.53,False,,,,
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-31,2026-01-28,5810.66,False,,,,
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-31,2026-01-27,5872.47,False,,,,
Madhya Pradesh,Vegetables,Onion,2026-01-31,2026-01-29,1158.0,False,,,,
Madhya Pradesh,Vegetables,Onion,2026-01-31,2026-01-28,1097.97,False,,,,
Madhya Pradesh,Vegetables,Onion,2026-01-31,2026-01-27,1244.87,False,,,,
Madhya Pradesh,Vegetables,Potato,2026-01-31,2026-01-29,1085.21,False,,,,
Madhya Pradesh,Vegetables,Potato,2026-01-31,2026-01-28,871.1,False,,,,
Madhya Pradesh,Vegetables,Potato,2026-01-31,2026-01-27,1011.24,False,,,,
Madhya Pradesh,Vegetables,Tomato,2026-01-31,2026-01-28,1800.0,False,,,,
Madhya Pradesh,Vegetables,Tomato,2026-01-31,2026-01-27,1400.0,False,,,,
Madhya Pradesh,,Arhar(Tur/Red Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-30,7628.39
Madhya Pradesh,,Arhar(Tur/Red Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-31,7609.25
Madhya Pradesh,,Arhar(Tur/Red Gram)(Whole),,,,True,HYBRID_MODEL,,2026-02-01,7590.11
Madhya Pradesh,,Bajra(Pearl Millet/Cumbu),,,,True,HYBRID_MODEL,,2026-01-30,3314.44
Madhya Pradesh,,Bajra(Pearl Millet/Cumbu),,,,True,HYBRID_MODEL,,2026-01-31,3663.56
Madhya Pradesh,,Bajra(Pearl Millet/Cumbu),,,,True,HYBRID_MODEL,,2026-02-01,4012.68
Madhya Pradesh,,Barley(Jau),,,,True,HYBRID_MODEL,,2026-01-30,2357.95
Madhya Pradesh,,Barley(Jau),,,,True,HYBRID_MODEL,,2026-01-31,2368.23
Madhya Pradesh,,Barley(Jau),,,,True,HYBRID_MODEL,,2026-02-01,2378.51
Madhya Pradesh,,Bengal Gram(Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-30,5492.28
Madhya Pradesh,,Bengal Gram(Gram)(Whole),,,,True,HYBRID_MODEL,,2026-01-31,5475.92
Madhya Pradesh,,Bengal Gram(Gram)(Whole),,,,True,HYBRID_MODEL,,2026-02-01,5459.56
Madhya Pradesh,,Black Gram(Urd Beans)(Whole),,,,True,HYBRID_MODEL,,2026-01-30,7993.59
Madhya Pradesh,,Black Gram(Urd Beans)(Whole),,,,True,HYBRID_MODEL,,2026-01-31,8080.83
Madhya Pradesh,,Black Gram(Urd Beans)(Whole),,,,True,HYBRID_MODEL,,2026-02-01,8168.07
Madhya Pradesh,,Cotton,,,,True,HYBRID_MODEL,,2026-01-30,7619.97
Madhya Pradesh,,Cotton,,,,True,HYBRID_MODEL,,2026-01-31,7627.23
Madhya Pradesh,,Cotton,,,,True,HYBRID_MODEL,,2026-02-01,7634.49
Madhya Pradesh,,Green Gram(Moong)(Whole),,,,True,HYBRID_MODEL,,2026-01-30,6636.76
Madhya Pradesh,,Green Gram(Moong)(Whole),,,,True,HYBRID_MODEL,,2026-01-31,6417.98
Madhya Pradesh,,Green Gram(Moong)(Whole),,,,True,HYBRID_MODEL,,2026-02-01,6199.2
Madhya Pradesh,,Groundnut,,,,True,HYBRID_MODEL,,2026-01-30,7566.05
Madhya Pradesh,,Groundnut,,,,True,HYBRID_MODEL,,2026-01-31,7907.09
Madhya Pradesh,,Groundnut,,,,True,HYBRID_MODEL,,2026-02-01,8248.13
Madhya Pradesh,,Jowar(Sorghum),,,,True,HYBRID_MODEL,,2026-01-30,6082.42
Madhya Pradesh,,Jowar(Sorghum),,,,True,HYBRID_MODEL,,2026-01-31,6143.85
Madhya Pradesh,,Jowar(Sorghum),,,,True,HYBRID_MODEL,,2026-02-01,6205.29
Madhya Pradesh,,Lentil(Masur)(Whole),,,,True,HYBRID_MODEL,,2026-01-30,6690.45
Madhya Pradesh,,Lentil(Masur)(Whole),,,,True,HYBRID_MODEL,,2026-01-31,6910.4
Madhya Pradesh,,Lentil(Masur)(Whole),,,,True,HYBRID_MODEL,,2026-02-01,7130.35
Madhya Pradesh,,Maize,,,,True,HYBRID_MODEL,,2026-01-30,1532.05
Madhya Pradesh,,Maize,,,,True,HYBRID_MODEL,,2026-01-31,1525.55
Madhya Pradesh,,Maize,,,,True,HYBRID_MODEL,,2026-02-01,1519.05
Madhya Pradesh,,Mustard,,,,True,HYBRID_MODEL,,2026-01-30,6164.97
Madhya Pradesh,,Mustard,,,,True,HYBRID_MODEL,,2026-01-31,6082.79
Madhya Pradesh,,Mustard,,,,True,HYBRID_MODEL,,2026-02-01,6000.61
Madhya Pradesh,,Niger Seed(Ramtil),,,,True,HYBRID_MODEL,,2026-01-30,9330.75
Madhya Pradesh,,Niger Seed(Ramtil),,,,True,HYBRID_MODEL,,2026-01-31,9425.0
Madhya Pradesh,,Niger Seed(Ramtil),,,,True,HYBRID_MODEL,,2026-02-01,9519.25
Madhya Pradesh,,Onion,,,,True,HYBRID_MODEL,,2026-01-30,1194.02
Madhya Pradesh,,Onion,,,,True,HYBRID_MODEL,,2026-01-31,1218.03
Madhya Pradesh,,Onion,,,,True,HYBRID_MODEL,,2026-02-01,1242.04
Madhya Pradesh,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-01-30,3732.42
Madhya Pradesh,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-01-31,3730.08
Madhya Pradesh,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-02-01,3727.74
Madhya Pradesh,,Potato,,,,True,HYBRID_MODEL,,2026-01-30,1213.68
Madhya Pradesh,,Potato,,,,True,HYBRID_MODEL,,2026-01-31,1299.32
Madhya Pradesh,,Potato,,,,True,HYBRID_MODEL,,2026-02-01,1384.96
Madhya Pradesh,,Safflower,,,,True,HYBRID_MODEL,,2026-01-29,3245.0
Madhya Pradesh,,Safflower,,,,True,HYBRID_MODEL,,2026-01-30,3245.0
Madhya Pradesh,,Safflower,,,,True,HYBRID_MODEL,,2026-01-31,3245.0
Madhya Pradesh,,"Sesamum(Sesame,Gingelly,Til)",,,,True,HYBRID_MODEL,,2026-01-30,7644.27
