state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-27,7774.54,0.85,ARIMA
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,7774.42,0.85,ARIMA
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-29,7774.54,0.85,ARIMA
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-26,1911.82,0.65,MA
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-27,1837.9,0.65,MA
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,1865.36,0.65,MA
Madhya Pradesh,Cereals,Barley(Jau),2026-01-26,2310.45,0.4,BOOTSTRAP
Madhya Pradesh,Cereals,Barley(Jau),2026-01-27,2269.13,0.4,BOOTSTRAP
Madhya Pradesh,Cereals,Barley(Jau),2026-01-28,2346.17,0.4,BOOTSTRAP
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,4868.57,0.85,ARIMA
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,4916.05,0.85,ARIMA
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,4905.51,0.85,ARIMA
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,6327.66,0.85,ARIMA
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,6320.97,0.85,ARIMA
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-29,6321.31,0.85,ARIMA
Madhya Pradesh,Fibre Crops,Cotton,2026-01-27,7254.92,0.85,ARIMA
Madhya Pradesh,Fibre Crops,Cotton,2026-01-28,7270.08,0.85,ARIMA
Madhya Pradesh,Fibre Crops,Cotton,2026-01-29,7265.42,0.85,ARIMA
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-27,7270.62,0.65,MA
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-28,7378.63,0.65,MA
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-29,7200.57,0.65,MA
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-27,7121.11,0.85,ARIMA
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-28,8627.18,0.85,ARIMA
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-29,7121.28,0.85,ARIMA
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-27,9284.43,0.85,ARIMA
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-28,11348.85,0.85,ARIMA
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-29,13413.27,0.85,ARIMA
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-27,5803.99,0.65,MA
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-28,5996.91,0.65,MA
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-29,6089.01,0.65,MA
Madhya Pradesh,Cereals,Maize,2026-01-27,1569.86,0.85,ARIMA
Madhya Pradesh,Cereals,Maize,2026-01-28,1566.35,0.85,ARIMA
Madhya Pradesh,Cereals,Maize,2026-01-29,1565.43,0.85,ARIMA
Madhya Pradesh,Oil Seeds,Mustard,2026-01-27,6109.67,0.85,ARIMA
Madhya Pradesh,Oil Seeds,Mustard,2026-01-28,6117.34,0.85,ARIMA
Madhya Pradesh,Oil Seeds,Mustard,2026-01-29,6113.21,0.85,ARIMA
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-01-26,9630.86,0.4,BOOTSTRAP
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-01-27,9938.91,0.4,BOOTSTRAP
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-01-28,9853.49,0.4,BOOTSTRAP
Madhya Pradesh,Vegetables,Onion,2026-01-27,957.26,0.85,ARIMA
Madhya Pradesh,Vegetables,Onion,2026-01-28,982.91,0.85,ARIMA
Madhya Pradesh,Vegetables,Onion,2026-01-29,967.51,0.85,ARIMA
Madhya Pradesh,Cereals,Paddy(Common),2026-01-27,3706.97,0.85,ARIMA
Madhya Pradesh,Cereals,Paddy(Common),2026-01-28,3760.66,0.85,ARIMA
Madhya Pradesh,Cereals,Paddy(Common),2026-01-29,3706.98,0.85,ARIMA
Madhya Pradesh,Vegetables,Potato,2026-01-27,1079.58,0.65,MA
Madhya Pradesh,Vegetables,Potato,2026-01-28,1097.8,0.65,MA
Madhya Pradesh,Vegetables,Potato,2026-01-29,1061.13,0.65,MA
