state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,prediction_run_date
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-12,7601.29,predicted,hybrid_trend,HIGH,7664.51,-105.35999999999967,2026-02-13
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-13,7559.15,predicted,hybrid_trend,HIGH,7664.51,-105.35999999999967,2026-02-13
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-14,7517.01,predicted,hybrid_trend,HIGH,7664.51,-105.35999999999967,2026-02-13
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-12,1616.93,predicted,hybrid_trend,HIGH,1760.8,-239.78999999999996,2026-02-13
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-13,1521.01,predicted,hybrid_trend,HIGH,1760.8,-239.78999999999996,2026-02-13
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-14,1425.09,predicted,hybrid_trend,HIGH,1760.8,-239.78999999999996,2026-02-13
Madhya Pradesh,Cereals,Barley(Jau),,,2026-02-12,2383.96,predicted,hybrid_trend,HIGH,2444.97,-101.69000000000005,2026-02-13
Madhya Pradesh,Cereals,Barley(Jau),,,2026-02-13,2343.28,predicted,hybrid_trend,HIGH,2444.97,-101.69000000000005,2026-02-13
Madhya Pradesh,Cereals,Barley(Jau),,,2026-02-14,2302.6,predicted,hybrid_trend,HIGH,2444.97,-101.69000000000005,2026-02-13
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-12,5379.85,predicted,hybrid_trend,HIGH,5350.43,49.030000000000655,2026-02-13
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-13,5399.46,predicted,hybrid_trend,HIGH,5350.43,49.030000000000655,2026-02-13
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-14,5419.07,predicted,hybrid_trend,HIGH,5350.43,49.030000000000655,2026-02-13
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-12,6698.3,predicted,hybrid_trend,HIGH,7303.06,-1007.9399999999996,2026-02-13
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-13,6295.12,predicted,hybrid_trend,HIGH,7303.06,-1007.9399999999996,2026-02-13
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-14,5891.94,predicted,hybrid_trend,HIGH,7303.06,-1007.9399999999996,2026-02-13
Madhya Pradesh,Fibre Crops,Cotton,,,2026-02-12,7562.19,predicted,hybrid_trend,HIGH,7565.18,-4.989999999999782,2026-02-13
Madhya Pradesh,Fibre Crops,Cotton,,,2026-02-13,7560.19,predicted,hybrid_trend,HIGH,7565.18,-4.989999999999782,2026-02-13
Madhya Pradesh,Fibre Crops,Cotton,,,2026-02-14,7558.19,predicted,hybrid_trend,HIGH,7565.18,-4.989999999999782,2026-02-13
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),,,2026-02-12,8956.03,predicted,hybrid_trend,HIGH,8284.57,1119.0999999999995,2026-02-13
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),,,2026-02-13,9403.67,predicted,hybrid_trend,HIGH,8284.57,1119.0999999999995,2026-02-13
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),,,2026-02-14,9851.31,predicted,hybrid_trend,HIGH,8284.57,1119.0999999999995,2026-02-13
Madhya Pradesh,Oil Seeds,Groundnut,,,2026-02-12,9384.75,predicted,hybrid_trend,HIGH,8531.13,1422.699999999999,2026-02-13
Madhya Pradesh,Oil Seeds,Groundnut,,,2026-02-13,9953.83,predicted,hybrid_trend,HIGH,8531.13,1422.699999999999,2026-02-13
Madhya Pradesh,Oil Seeds,Groundnut,,,2026-02-14,10522.91,predicted,hybrid_trend,HIGH,8531.13,1422.699999999999,2026-02-13
Madhya Pradesh,Cereals,Jowar(Sorghum),,,2026-02-12,4400.66,predicted,hybrid_trend,HIGH,3502.29,1497.29,2026-02-13
Madhya Pradesh,Cereals,Jowar(Sorghum),,,2026-02-13,4999.58,predicted,hybrid_trend,HIGH,3502.29,1497.29,2026-02-13
Madhya Pradesh,Cereals,Jowar(Sorghum),,,2026-02-14,5598.5,predicted,hybrid_trend,HIGH,3502.29,1497.29,2026-02-13
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),,,2026-02-12,5811.62,predicted,hybrid_trend,HIGH,5805.81,9.69000000000051,2026-02-13
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),,,2026-02-13,5815.5,predicted,hybrid_trend,HIGH,5805.81,9.69000000000051,2026-02-13
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),,,2026-02-14,5819.38,predicted,hybrid_trend,HIGH,5805.81,9.69000000000051,2026-02-13
Madhya Pradesh,Cereals,Maize,,,2026-02-12,1529.19,predicted,hybrid_trend,HIGH,1527.9,2.150000000000091,2026-02-13
Madhya Pradesh,Cereals,Maize,,,2026-02-13,1530.05,predicted,hybrid_trend,HIGH,1527.9,2.150000000000091,2026-02-13
Madhya Pradesh,Cereals,Maize,,,2026-02-14,1530.91,predicted,hybrid_trend,HIGH,1527.9,2.150000000000091,2026-02-13
Madhya Pradesh,Oil Seeds,Mustard,,,2026-02-12,5859.77,predicted,hybrid_trend,HIGH,5914.44,-91.1200000000008,2026-02-13
Madhya Pradesh,Oil Seeds,Mustard,,,2026-02-13,5823.32,predicted,hybrid_trend,HIGH,5914.44,-91.1200000000008,2026-02-13
Madhya Pradesh,Oil Seeds,Mustard,,,2026-02-14,5786.87,predicted,hybrid_trend,HIGH,5914.44,-91.1200000000008,2026-02-13
Madhya Pradesh,Vegetables,Onion,,,2026-02-12,1211.12,predicted,hybrid_trend,HIGH,1213.44,-3.8599999999999,2026-02-13
Madhya Pradesh,Vegetables,Onion,,,2026-02-13,1209.58,predicted,hybrid_trend,HIGH,1213.44,-3.8599999999999,2026-02-13
Madhya Pradesh,Vegetables,Onion,,,2026-02-14,1208.04,predicted,hybrid_trend,HIGH,1213.44,-3.8599999999999,2026-02-13
Madhya Pradesh,Cereals,Paddy(Common),,,2026-02-12,3759.79,predicted,hybrid_trend,HIGH,3848.54,-147.90999999999985,2026-02-13
Madhya Pradesh,Cereals,Paddy(Common),,,2026-02-13,3700.63,predicted,hybrid_trend,HIGH,3848.54,-147.90999999999985,2026-02-13
Madhya Pradesh,Cereals,Paddy(Common),,,2026-02-14,3641.47,predicted,hybrid_trend,HIGH,3848.54,-147.90999999999985,2026-02-13
Madhya Pradesh,Vegetables,Potato,,,2026-02-12,1053.55,predicted,hybrid_trend,HIGH,936.22,195.55000000000007,2026-02-13
Madhya Pradesh,Vegetables,Potato,,,2026-02-13,1131.77,predicted,hybrid_trend,HIGH,936.22,195.55000000000007,2026-02-13
Madhya Pradesh,Vegetables,Potato,,,2026-02-14,1209.99,predicted,hybrid_trend,HIGH,936.22,195.55000000000007,2026-02-13
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",,,2026-02-12,8949.55,predicted,hybrid_trend,HIGH,8756.65,321.5,2026-02-13
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",,,2026-02-13,9078.15,predicted,hybrid_trend,HIGH,8756.65,321.5,2026-02-13
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",,,2026-02-14,9206.75,predicted,hybrid_trend,HIGH,8756.65,321.5,2026-02-13
Madhya Pradesh,Oil Seeds,Soyabean,,,2026-02-12,4884.37,predicted,hybrid_trend,HIGH,5001.24,-194.78999999999996,2026-02-13
Madhya Pradesh,Oil Seeds,Soyabean,,,2026-02-13,4806.45,predicted,hybrid_trend,HIGH,5001.24,-194.78999999999996,2026-02-13
Madhya Pradesh,Oil Seeds,Soyabean,,,2026-02-14,4728.53,predicted,hybrid_trend,HIGH,5001.24,-194.78999999999996,2026-02-13
Madhya Pradesh,Vegetables,Tomato,,,2026-02-12,909.7,predicted,hybrid_trend,HIGH,927.59,-29.819999999999936,2026-02-13
Madhya Pradesh,Vegetables,Tomato,,,2026-02-13,897.77,predicted,hybrid_trend,HIGH,927.59,-29.819999999999936,2026-02-13
Madhya Pradesh,Vegetables,Tomato,,,2026-02-14,885.84,predicted,hybrid_trend,HIGH,927.59,-29.819999999999936,2026-02-13
Madhya Pradesh,Cereals,Wheat,,,2026-02-12,2464.66,predicted,hybrid_trend,HIGH,2465.3,-1.069999999999709,2026-02-13
Madhya Pradesh,Cereals,Wheat,,,2026-02-13,2464.23,predicted,hybrid_trend,HIGH,2465.3,-1.069999999999709,2026-02-13
Madhya Pradesh,Cereals,Wheat,,,2026-02-14,2463.8,predicted,hybrid_trend,HIGH,2465.3,-1.069999999999709,2026-02-13
