state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-26,8123.34,0.65,MA
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-27,8229.04,0.65,MA
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,8341.26,0.65,MA
Maharashtra,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-27,3375.69,0.65,MA
Maharashtra,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,3373.96,0.65,MA
Maharashtra,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-29,3370.68,0.65,MA
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,7017.79,0.65,MA
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,6905.92,0.65,MA
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,7165.57,0.65,MA
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,9533.95,0.65,MA
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,9356.03,0.65,MA
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-01-29,9163.13,0.65,MA
Maharashtra,Fibre Crops,Cotton,2026-01-27,7996.4,0.65,MA
Maharashtra,Fibre Crops,Cotton,2026-01-28,7779.27,0.65,MA
Maharashtra,Fibre Crops,Cotton,2026-01-29,7977.79,0.65,MA
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-01-27,9642.63,0.65,MA
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-01-28,9708.35,0.65,MA
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-01-29,9944.42,0.65,MA
Maharashtra,Cereals,Jowar(Sorghum),2026-01-27,4605.47,0.65,MA
Maharashtra,Cereals,Jowar(Sorghum),2026-01-28,4530.28,0.65,MA
Maharashtra,Cereals,Jowar(Sorghum),2026-01-29,4554.86,0.65,MA
Maharashtra,Pulses,Lentil(Masur)(Whole),2026-01-25,6818.49,0.4,BOOTSTRAP
Maharashtra,Pulses,Lentil(Masur)(Whole),2026-01-26,6910.93,0.4,BOOTSTRAP
Maharashtra,Pulses,Lentil(Masur)(Whole),2026-01-27,6765.97,0.4,BOOTSTRAP
Maharashtra,Cereals,Maize,2026-01-25,2577.7,0.4,BOOTSTRAP
Maharashtra,Cereals,Maize,2026-01-26,2603.45,0.4,BOOTSTRAP
Maharashtra,Cereals,Maize,2026-01-27,2660.83,0.4,BOOTSTRAP
Maharashtra,Cereals,Paddy(Common),2026-01-27,2703.51,0.85,ARIMA
Maharashtra,Cereals,Paddy(Common),2026-01-28,2706.22,0.85,ARIMA
Maharashtra,Cereals,Paddy(Common),2026-01-29,2708.31,0.85,ARIMA
Maharashtra,Cereals,Ragi(Finger Millet),2026-01-25,5231.95,0.4,BOOTSTRAP
Maharashtra,Cereals,Ragi(Finger Millet),2026-01-26,5377.37,0.4,BOOTSTRAP
Maharashtra,Cereals,Ragi(Finger Millet),2026-01-27,5229.17,0.4,BOOTSTRAP
Maharashtra,Oil Seeds,Safflower,2026-01-25,8402.88,0.4,BOOTSTRAP
Maharashtra,Oil Seeds,Safflower,2026-01-26,8639.98,0.4,BOOTSTRAP
Maharashtra,Oil Seeds,Safflower,2026-01-27,8501.26,0.4,BOOTSTRAP
Maharashtra,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-27,14159.71,0.4,BOOTSTRAP
Maharashtra,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,14320.39,0.4,BOOTSTRAP
Maharashtra,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,13712.2,0.4,BOOTSTRAP
Maharashtra,Oil Seeds,Soyabean,2026-01-27,5407.26,0.85,ARIMA
Maharashtra,Oil Seeds,Soyabean,2026-01-28,5489.4,0.85,ARIMA
Maharashtra,Oil Seeds,Soyabean,2026-01-29,5416.65,0.85,ARIMA
Maharashtra,Cereals,Wheat,2026-01-27,2753.34,0.85,ARIMA
Maharashtra,Cereals,Wheat,2026-01-28,2722.1,0.85,ARIMA
Maharashtra,Cereals,Wheat,2026-01-29,2731.54,0.85,ARIMA
