state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Manipur,Pulses,Bengal Gram(Gram)(Whole),2026-01-24,8814.43,0.4,BOOTSTRAP
Manipur,Pulses,Bengal Gram(Gram)(Whole),2026-01-25,8478.27,0.4,BOOTSTRAP
Manipur,Pulses,Bengal Gram(Gram)(Whole),2026-01-26,8913.63,0.4,BOOTSTRAP
Manipur,Pulses,Black Gram(Urd Beans)(Whole),2026-01-24,14144.09,0.4,BOOTSTRAP
Manipur,Pulses,Black Gram(Urd Beans)(Whole),2026-01-25,13605.35,0.4,BOOTSTRAP
Manipur,Pulses,Black Gram(Urd Beans)(Whole),2026-01-26,14099.17,0.4,BOOTSTRAP
Manipur,Vegetables,Onion,2026-01-24,3703.7,0.4,BOOTSTRAP
Manipur,Vegetables,Onion,2026-01-25,3787.79,0.4,BOOTSTRAP
Manipur,Vegetables,Onion,2026-01-26,3704.44,0.4,BOOTSTRAP
Manipur,Vegetables,Potato,2026-01-24,2223.79,0.4,BOOTSTRAP
Manipur,Vegetables,Potato,2026-01-25,2232.18,0.4,BOOTSTRAP
Manipur,Vegetables,Potato,2026-01-26,2259.86,0.4,BOOTSTRAP
