state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,prediction_run_date
Manipur,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-11,8662.5,predicted,hybrid_ma,MEDIUM,8750.0,0.0,2026-02-12
Manipur,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-12,8750.0,predicted,hybrid_ma,MEDIUM,8750.0,0.0,2026-02-12
Manipur,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-13,8837.5,predicted,hybrid_ma,MEDIUM,8750.0,0.0,2026-02-12
Manipur,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-11,13612.5,predicted,hybrid_ma,MEDIUM,13750.0,0.0,2026-02-12
Manipur,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-12,13750.0,predicted,hybrid_ma,MEDIUM,13750.0,0.0,2026-02-12
Manipur,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-13,13887.5,predicted,hybrid_ma,MEDIUM,13750.0,0.0,2026-02-12
Manipur,Vegetables,Onion,,,2026-02-11,3712.5,predicted,hybrid_ma,MEDIUM,3750.0,0.0,2026-02-12
Manipur,Vegetables,Onion,,,2026-02-12,3750.0,predicted,hybrid_ma,MEDIUM,3750.0,0.0,2026-02-12
Manipur,Vegetables,Onion,,,2026-02-13,3787.5,predicted,hybrid_ma,MEDIUM,3750.0,0.0,2026-02-12
Manipur,Vegetables,Potato,,,2026-02-11,2227.5,predicted,hybrid_ma,MEDIUM,2250.0,0.0,2026-02-12
Manipur,Vegetables,Potato,,,2026-02-12,2250.0,predicted,hybrid_ma,MEDIUM,2250.0,0.0,2026-02-12
Manipur,Vegetables,Potato,,,2026-02-13,2272.5,predicted,hybrid_ma,MEDIUM,2250.0,0.0,2026-02-12
