state,commodity,commodity_group,district,market,predicted_for_date,predicted_price,model_used,rmse,mae,mape,confidence_score,trained_till_date,prediction_run_date,base_last_price,trend_used,price_date,price,price_type
Manipur,Bengal Gram(Gram)(Whole),Pulses,,,2026-03-21,8750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,8750.0,0.0,2026-03-21,8750.0,predicted
Manipur,Bengal Gram(Gram)(Whole),Pulses,,,2026-03-22,8750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,8750.0,0.0,2026-03-22,8750.0,predicted
Manipur,Bengal Gram(Gram)(Whole),Pulses,,,2026-03-23,8750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,8750.0,0.0,2026-03-23,8750.0,predicted
Manipur,Black Gram(Urd Beans)(Whole),Pulses,,,2026-03-21,13750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,13750.0,0.0,2026-03-21,13750.0,predicted
Manipur,Black Gram(Urd Beans)(Whole),Pulses,,,2026-03-22,13750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,13750.0,0.0,2026-03-22,13750.0,predicted
Manipur,Black Gram(Urd Beans)(Whole),Pulses,,,2026-03-23,13750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,13750.0,0.0,2026-03-23,13750.0,predicted
Manipur,Onion,Vegetables,,,2026-03-21,3250.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,3250.0,0.0,2026-03-21,3250.0,predicted
Manipur,Onion,Vegetables,,,2026-03-22,3250.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,3250.0,0.0,2026-03-22,3250.0,predicted
Manipur,Onion,Vegetables,,,2026-03-23,3250.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,3250.0,0.0,2026-03-23,3250.0,predicted
Manipur,Potato,Vegetables,,,2026-03-21,1750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,1750.0,0.0,2026-03-21,1750.0,predicted
Manipur,Potato,Vegetables,,,2026-03-22,1750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,1750.0,0.0,2026-03-22,1750.0,predicted
Manipur,Potato,Vegetables,,,2026-03-23,1750.0,fallback_copy,0.0,0.0,0.0,LOW,2026-03-20,2026-03-24,1750.0,0.0,2026-03-23,1750.0,predicted
