state,commodity,predicted_date,predicted_price,confidence_score
Punjab,Cotton,2026-01-29,7753.98,HIGH
Punjab,Cotton,2026-01-30,7790.48,HIGH
Punjab,Cotton,2026-01-31,7826.98,HIGH
Punjab,Mustard,2026-01-28,6390.0,LOW
Punjab,Mustard,2026-01-29,6390.0,LOW
Punjab,Mustard,2026-01-30,6390.0,LOW
Punjab,Onion,2026-01-29,1510.63,HIGH
Punjab,Onion,2026-01-30,1425.43,HIGH
Punjab,Onion,2026-01-31,1340.23,HIGH
Punjab,Potato,2026-01-29,370.17,HIGH
Punjab,Potato,2026-01-30,375.92,HIGH
Punjab,Potato,2026-01-31,381.67,HIGH
Punjab,Tomato,2026-01-29,1741.18,HIGH
Punjab,Tomato,2026-01-30,1730.58,HIGH
Punjab,Tomato,2026-01-31,1719.98,HIGH
Punjab,Wheat,2026-01-29,2440.0,LOW
Punjab,Wheat,2026-01-30,2440.0,LOW
Punjab,Wheat,2026-01-31,2440.0,LOW
