state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,rmse,mae,mape,prediction_run_date
Punjab,Fibre Crops,Cotton,,,2026-02-15,7570.13,predicted,hybrid_trend,LOW,7465.0,175.22000000000025,,,,2026-02-16
Punjab,Fibre Crops,Cotton,,,2026-02-16,7640.22,predicted,hybrid_trend,LOW,7465.0,175.22000000000025,,,,2026-02-16
Punjab,Fibre Crops,Cotton,,,2026-02-17,7710.31,predicted,hybrid_trend,LOW,7465.0,175.22000000000025,,,,2026-02-16
Punjab,Vegetables,Onion,,,2026-02-15,1484.44,predicted,hybrid_trend,LOW,1418.73,109.50999999999999,,,,2026-02-16
Punjab,Vegetables,Onion,,,2026-02-16,1528.24,predicted,hybrid_trend,LOW,1418.73,109.50999999999999,,,,2026-02-16
Punjab,Vegetables,Onion,,,2026-02-17,1572.04,predicted,hybrid_trend,LOW,1418.73,109.50999999999999,,,,2026-02-16
Punjab,Vegetables,Potato,,,2026-02-15,352.67,predicted,hybrid_trend,LOW,330.16,37.51000000000005,,,,2026-02-16
Punjab,Vegetables,Potato,,,2026-02-16,367.67,predicted,hybrid_trend,LOW,330.16,37.51000000000005,,,,2026-02-16
Punjab,Vegetables,Potato,,,2026-02-17,382.67,predicted,hybrid_trend,LOW,330.16,37.51000000000005,,,,2026-02-16
Punjab,Vegetables,Tomato,,,2026-02-15,1127.89,predicted,hybrid_trend,LOW,1135.77,-13.1400000000001,,,,2026-02-16
Punjab,Vegetables,Tomato,,,2026-02-16,1122.63,predicted,hybrid_trend,LOW,1135.77,-13.1400000000001,,,,2026-02-16
Punjab,Vegetables,Tomato,,,2026-02-17,1117.37,predicted,hybrid_trend,LOW,1135.77,-13.1400000000001,,,,2026-02-16
Punjab,Cereals,Wheat,,,2026-02-14,2595.0,predicted,fallback_copy,LOW,2595.0,0.0,,,,2026-02-16
Punjab,Cereals,Wheat,,,2026-02-15,2595.0,predicted,fallback_copy,LOW,2595.0,0.0,,,,2026-02-16
Punjab,Cereals,Wheat,,,2026-02-16,2595.0,predicted,fallback_copy,LOW,2595.0,0.0,,,,2026-02-16
