state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,prediction_run_date
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-14,6600.0,predicted,hybrid_trend,HIGH,6450.0,250.0,2026-02-15
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-15,6700.0,predicted,hybrid_trend,HIGH,6450.0,250.0,2026-02-15
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-16,6800.0,predicted,hybrid_trend,HIGH,6450.0,250.0,2026-02-15
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-14,2140.55,predicted,hybrid_trend,HIGH,2062.98,129.28999999999996,2026-02-15
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-15,2192.27,predicted,hybrid_trend,HIGH,2062.98,129.28999999999996,2026-02-15
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-16,2243.99,predicted,hybrid_trend,HIGH,2062.98,129.28999999999996,2026-02-15
Rajasthan,Cereals,Barley(Jau),,,2026-02-14,2135.22,predicted,hybrid_trend,HIGH,2239.87,-174.42000000000007,2026-02-15
Rajasthan,Cereals,Barley(Jau),,,2026-02-15,2065.45,predicted,hybrid_trend,HIGH,2239.87,-174.42000000000007,2026-02-15
Rajasthan,Cereals,Barley(Jau),,,2026-02-16,1995.68,predicted,hybrid_trend,HIGH,2239.87,-174.42000000000007,2026-02-15
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-14,5164.38,predicted,hybrid_trend,HIGH,5190.71,-43.89000000000033,2026-02-15
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-15,5146.82,predicted,hybrid_trend,HIGH,5190.71,-43.89000000000033,2026-02-15
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-16,5129.26,predicted,hybrid_trend,HIGH,5190.71,-43.89000000000033,2026-02-15
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-14,7363.77,predicted,hybrid_trend,HIGH,6984.77,631.6600000000008,2026-02-15
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-15,7616.43,predicted,hybrid_trend,HIGH,6984.77,631.6600000000008,2026-02-15
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-16,7869.09,predicted,hybrid_trend,HIGH,6984.77,631.6600000000008,2026-02-15
Rajasthan,Fibre Crops,Cotton,,,2026-02-14,7000.05,predicted,hybrid_trend,HIGH,7103.53,-172.46000000000004,2026-02-15
Rajasthan,Fibre Crops,Cotton,,,2026-02-15,6931.07,predicted,hybrid_trend,HIGH,7103.53,-172.46000000000004,2026-02-15
Rajasthan,Fibre Crops,Cotton,,,2026-02-16,6862.09,predicted,hybrid_trend,HIGH,7103.53,-172.46000000000004,2026-02-15
Rajasthan,Pulses,Green Gram(Moong)(Whole),,,2026-02-14,7470.55,predicted,hybrid_trend,HIGH,7245.32,375.3899999999994,2026-02-15
Rajasthan,Pulses,Green Gram(Moong)(Whole),,,2026-02-15,7620.71,predicted,hybrid_trend,HIGH,7245.32,375.3899999999994,2026-02-15
Rajasthan,Pulses,Green Gram(Moong)(Whole),,,2026-02-16,7770.87,predicted,hybrid_trend,HIGH,7245.32,375.3899999999994,2026-02-15
Rajasthan,Oil Seeds,Groundnut,,,2026-02-14,6073.9,predicted,hybrid_trend,HIGH,6142.62,-114.52999999999975,2026-02-15
