state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,rmse,mae,mape,prediction_run_date
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-14,6261.75,predicted,hybrid_ma,LOW,6450.0,250.0,,,,2026-02-16
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-15,6325.0,predicted,hybrid_ma,LOW,6450.0,250.0,,,,2026-02-16
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-16,6388.25,predicted,hybrid_ma,LOW,6450.0,250.0,,,,2026-02-16
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-15,1777.44,predicted,hybrid_trend,LOW,1884.52,-178.46000000000004,,,,2026-02-16
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-16,1706.06,predicted,hybrid_trend,LOW,1884.52,-178.46000000000004,,,,2026-02-16
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-17,1634.68,predicted,hybrid_trend,LOW,1884.52,-178.46000000000004,,,,2026-02-16
Rajasthan,Cereals,Barley(Jau),,,2026-02-15,2338.08,predicted,hybrid_trend,LOW,2301.25,61.38000000000011,,,,2026-02-16
Rajasthan,Cereals,Barley(Jau),,,2026-02-16,2362.63,predicted,hybrid_trend,LOW,2301.25,61.38000000000011,,,,2026-02-16
Rajasthan,Cereals,Barley(Jau),,,2026-02-17,2387.18,predicted,hybrid_trend,LOW,2301.25,61.38000000000011,,,,2026-02-16
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-15,5315.56,predicted,hybrid_trend,LOW,5264.97,84.3100000000004,,,,2026-02-16
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-16,5349.28,predicted,hybrid_trend,LOW,5264.97,84.3100000000004,,,,2026-02-16
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-17,5383.0,predicted,hybrid_trend,LOW,5264.97,84.3100000000004,,,,2026-02-16
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-15,6358.79,predicted,hybrid_trend,LOW,6593.53,-391.2400000000007,,,,2026-02-16
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-16,6202.29,predicted,hybrid_trend,LOW,6593.53,-391.2400000000007,,,,2026-02-16
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-17,6045.79,predicted,hybrid_trend,LOW,6593.53,-391.2400000000007,,,,2026-02-16
Rajasthan,Fibre Crops,Cotton,,,2026-02-15,7601.9,predicted,hybrid_trend,LOW,7415.01,311.4800000000005,,,,2026-02-16
Rajasthan,Fibre Crops,Cotton,,,2026-02-16,7726.49,predicted,hybrid_trend,LOW,7415.01,311.4800000000005,,,,2026-02-16
Rajasthan,Fibre Crops,Cotton,,,2026-02-17,7851.08,predicted,hybrid_trend,LOW,7415.01,311.4800000000005,,,,2026-02-16
Rajasthan,Pulses,Green Gram(Moong)(Whole),,,2026-02-15,7362.12,predicted,hybrid_trend,LOW,7318.32,73.0,,,,2026-02-16
Rajasthan,Pulses,Green Gram(Moong)(Whole),,,2026-02-16,7391.32,predicted,hybrid_trend,LOW,7318.32,73.0,,,,2026-02-16
Rajasthan,Pulses,Green Gram(Moong)(Whole),,,2026-02-17,7420.52,predicted,hybrid_trend,LOW,7318.32,73.0,,,,2026-02-16
Rajasthan,Oil Seeds,Groundnut,,,2026-02-14,6143.85,predicted,hybrid_ma,LOW,6154.66,-102.48999999999978,,,,2026-02-16
Rajasthan,Oil Seeds,Groundnut,,,2026-02-15,6205.9,predicted,hybrid_ma,LOW,6154.66,-102.48999999999978,,,,2026-02-16
Rajasthan,Oil Seeds,Groundnut,,,2026-02-16,6267.96,predicted,hybrid_ma,LOW,6154.66,-102.48999999999978,,,,2026-02-16
Rajasthan,Cereals,Jowar(Sorghum),,,2026-02-15,1855.0,predicted,hybrid_trend,LOW,2275.0,-700.0,,,,2026-02-16
Rajasthan,Cereals,Jowar(Sorghum),,,2026-02-16,1575.0,predicted,hybrid_trend,LOW,2275.0,-700.0,,,,2026-02-16
Rajasthan,Cereals,Jowar(Sorghum),,,2026-02-17,1295.0,predicted,hybrid_trend,LOW,2275.0,-700.0,,,,2026-02-16
