state,commodity_group,commodity,source_date,price_date,price,is_predicted,model_used,confidence_score,predicted_date,predicted_price
Tripura,Vegetables,Onion,2026-01-31,2026-01-29,2726.92,False,,,,
Tripura,Vegetables,Onion,2026-01-31,2026-01-28,3107.14,False,,,,
Tripura,Vegetables,Onion,2026-01-31,2026-01-27,2666.67,False,,,,
Tripura,Vegetables,Potato,2026-01-31,2026-01-29,1558.71,False,,,,
Tripura,Vegetables,Potato,2026-01-31,2026-01-28,1718.06,False,,,,
Tripura,Vegetables,Potato,2026-01-31,2026-01-27,1854.29,False,,,,
Tripura,Vegetables,Tomato,2026-01-31,2026-01-29,3041.18,False,,,,
Tripura,Vegetables,Tomato,2026-01-31,2026-01-28,4318.75,False,,,,
Tripura,Vegetables,Tomato,2026-01-31,2026-01-27,3796.15,False,,,,
Tripura,,Onion,,,,True,HYBRID_MODEL,,2026-01-30,2498.79
Tripura,,Onion,,,,True,HYBRID_MODEL,,2026-01-31,2346.7
Tripura,,Onion,,,,True,HYBRID_MODEL,,2026-02-01,2194.61
Tripura,,Potato,,,,True,HYBRID_MODEL,,2026-01-30,1463.1
Tripura,,Potato,,,,True,HYBRID_MODEL,,2026-01-31,1399.36
Tripura,,Potato,,,,True,HYBRID_MODEL,,2026-02-01,1335.62
Tripura,,Tomato,,,,True,HYBRID_MODEL,,2026-01-30,2274.64
Tripura,,Tomato,,,,True,HYBRID_MODEL,,2026-01-31,1763.61
Tripura,,Tomato,,,,True,HYBRID_MODEL,,2026-02-01,1252.58
