state,commodity,commodity_group,district,market,predicted_for_date,predicted_price,model_used,rmse,mae,mape,confidence_score,trained_till_date,prediction_run_date,base_last_price,trend_used,price_date,price,price_type
Tripura,Onion,Vegetables,,,2026-02-18,2642.85,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,2685.71,-71.42999999999984,2026-02-18,2642.85,predicted
Tripura,Onion,Vegetables,,,2026-02-19,2614.28,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,2685.71,-71.42999999999984,2026-02-19,2614.28,predicted
Tripura,Onion,Vegetables,,,2026-02-20,2585.71,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,2685.71,-71.42999999999984,2026-02-20,2585.71,predicted
Tripura,Paddy(Common),Cereals,,,2026-02-18,3069.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,3950.0,1700.0,2026-02-18,3069.0,predicted
Tripura,Paddy(Common),Cereals,,,2026-02-19,3100.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,3950.0,1700.0,2026-02-19,3100.0,predicted
Tripura,Paddy(Common),Cereals,,,2026-02-20,3131.0,hybrid_ma,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,3950.0,1700.0,2026-02-20,3131.0,predicted
Tripura,Potato,Vegetables,,,2026-02-18,1870.84,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1800.0,118.05999999999995,2026-02-18,1870.84,predicted
Tripura,Potato,Vegetables,,,2026-02-19,1918.06,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1800.0,118.05999999999995,2026-02-19,1918.06,predicted
Tripura,Potato,Vegetables,,,2026-02-20,1965.28,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1800.0,118.05999999999995,2026-02-20,1965.28,predicted
Tripura,Tomato,Vegetables,,,2026-02-18,3294.76,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,3494.64,-333.1400000000003,2026-02-18,3294.76,predicted
Tripura,Tomato,Vegetables,,,2026-02-19,3161.5,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,3494.64,-333.1400000000003,2026-02-19,3161.5,predicted
Tripura,Tomato,Vegetables,,,2026-02-20,3028.24,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,3494.64,-333.1400000000003,2026-02-20,3028.24,predicted
