state,commodity_group,commodity,source_date,price_date,price,is_predicted,model_used,confidence_score,predicted_date,predicted_price
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,2026-01-28,1905.24,False,,,,
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,2026-01-27,2194.84,False,,,,
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,2026-01-26,1912.01,False,,,,
Uttar Pradesh,Cereals,Barley(Jau),2026-01-30,2026-01-28,2240.0,False,,,,
Uttar Pradesh,Cereals,Barley(Jau),2026-01-30,2026-01-27,2225.0,False,,,,
Uttar Pradesh,Cereals,Jowar(Sorghum),2026-01-30,2026-01-28,6400.0,False,,,,
Uttar Pradesh,Cereals,Jowar(Sorghum),2026-01-30,2026-01-27,2600.0,False,,,,
Uttar Pradesh,Cereals,Maize,2026-01-30,2026-01-28,2100.13,False,,,,
Uttar Pradesh,Cereals,Maize,2026-01-30,2026-01-27,2053.81,False,,,,
Uttar Pradesh,Cereals,Maize,2026-01-30,2026-01-26,1911.75,False,,,,
Uttar Pradesh,Cereals,Paddy(Common),2026-01-30,2026-01-28,2311.15,False,,,,
Uttar Pradesh,Cereals,Paddy(Common),2026-01-30,2026-01-27,2229.63,False,,,,
Uttar Pradesh,Cereals,Paddy(Common),2026-01-30,2026-01-26,2451.65,False,,,,
Uttar Pradesh,Cereals,Wheat,2026-01-30,2026-01-28,2500.78,False,,,,
Uttar Pradesh,Cereals,Wheat,2026-01-30,2026-01-27,2512.55,False,,,,
Uttar Pradesh,Cereals,Wheat,2026-01-30,2026-01-26,2540.21,False,,,,
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-30,2026-01-28,6900.91,False,,,,
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-30,2026-01-27,6000.0,False,,,,
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-30,2026-01-26,6750.0,False,,,,
Uttar Pradesh,Oil Seeds,Mustard,2026-01-30,2026-01-28,6621.33,False,,,,
Uttar Pradesh,Oil Seeds,Mustard,2026-01-30,2026-01-27,6608.74,False,,,,
Uttar Pradesh,Oil Seeds,Mustard,2026-01-30,2026-01-26,6330.82,False,,,,
Uttar Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-30,2026-01-28,9172.7,False,,,,
Uttar Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-30,2026-01-26,9130.0,False,,,,
Uttar Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,2026-01-28,6000.0,False,,,,
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,2026-01-28,5382.13,False,,,,
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,2026-01-27,5449.27,False,,,,
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,2026-01-26,5350.0,False,,,,
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-30,2026-01-27,8850.0,False,,,,
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-30,2026-01-28,6185.38,False,,,,
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-30,2026-01-27,7192.28,False,,,,
Uttar Pradesh,Vegetables,Onion,2026-01-30,2026-01-28,1505.67,False,,,,
