state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-27,2364.74,0.85,ARIMA
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,1916.68,0.85,ARIMA
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-29,2360.12,0.85,ARIMA
Uttar Pradesh,Cereals,Barley(Jau),2026-01-25,2215.59,0.4,BOOTSTRAP
Uttar Pradesh,Cereals,Barley(Jau),2026-01-26,2218.68,0.4,BOOTSTRAP
Uttar Pradesh,Cereals,Barley(Jau),2026-01-27,2180.99,0.4,BOOTSTRAP
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,4821.37,0.85,ARIMA
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,4943.57,0.85,ARIMA
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,4915.32,0.85,ARIMA
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-25,9044.69,0.4,BOOTSTRAP
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-26,8869.58,0.4,BOOTSTRAP
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,8761.48,0.4,BOOTSTRAP
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-27,6055.24,0.85,ARIMA
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-28,6749.34,0.85,ARIMA
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-29,6055.9,0.85,ARIMA
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-26,7065.93,0.65,MA
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-27,6910.77,0.65,MA
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-28,6916.71,0.65,MA
Uttar Pradesh,Cereals,Maize,2026-01-27,2160.57,0.85,ARIMA
Uttar Pradesh,Cereals,Maize,2026-01-28,1913.06,0.85,ARIMA
Uttar Pradesh,Cereals,Maize,2026-01-29,2159.27,0.85,ARIMA
Uttar Pradesh,Oil Seeds,Mustard,2026-01-27,5833.01,0.85,ARIMA
Uttar Pradesh,Oil Seeds,Mustard,2026-01-28,6328.39,0.85,ARIMA
Uttar Pradesh,Oil Seeds,Mustard,2026-01-29,5835.44,0.85,ARIMA
Uttar Pradesh,Vegetables,Onion,2026-01-27,1424.81,0.85,ARIMA
Uttar Pradesh,Vegetables,Onion,2026-01-28,1431.16,0.85,ARIMA
Uttar Pradesh,Vegetables,Onion,2026-01-29,1430.28,0.85,ARIMA
Uttar Pradesh,Cereals,Paddy(Common),2026-01-27,2451.66,0.85,ARIMA
Uttar Pradesh,Cereals,Paddy(Common),2026-01-28,2451.67,0.85,ARIMA
Uttar Pradesh,Cereals,Paddy(Common),2026-01-29,2451.68,0.85,ARIMA
Uttar Pradesh,Vegetables,Potato,2026-01-27,629.03,0.85,ARIMA
Uttar Pradesh,Vegetables,Potato,2026-01-28,631.94,0.85,ARIMA
Uttar Pradesh,Vegetables,Potato,2026-01-29,634.79,0.85,ARIMA
Uttar Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-27,9283.89,0.65,MA
Uttar Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,9027.53,0.65,MA
Uttar Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,8940.35,0.65,MA
Uttar Pradesh,Vegetables,Tomato,2026-01-27,1955.99,0.85,ARIMA
Uttar Pradesh,Vegetables,Tomato,2026-01-28,1985.59,0.85,ARIMA
Uttar Pradesh,Vegetables,Tomato,2026-01-29,1971.32,0.85,ARIMA
Uttar Pradesh,Cereals,Wheat,2026-01-27,2475.67,0.85,ARIMA
Uttar Pradesh,Cereals,Wheat,2026-01-28,2538.06,0.85,ARIMA
Uttar Pradesh,Cereals,Wheat,2026-01-29,2477.74,0.85,ARIMA
