state,commodity_group,commodity,district,market,price_date,price,price_type,model_used,confidence_score,base_last_price,trend_used,prediction_run_date
Uttar Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-07,8090.0,predicted,fallback_copy,LOW,8090.0,0.0,2026-02-09
Uttar Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-08,8090.0,predicted,fallback_copy,LOW,8090.0,0.0,2026-02-09
Uttar Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),,,2026-02-09,8090.0,predicted,fallback_copy,LOW,8090.0,0.0,2026-02-09
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-07,1945.83,predicted,hybrid_trend,HIGH,1983.05,-62.02999999999997,2026-02-09
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-08,1921.02,predicted,hybrid_trend,HIGH,1983.05,-62.02999999999997,2026-02-09
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),,,2026-02-09,1896.21,predicted,hybrid_trend,HIGH,1983.05,-62.02999999999997,2026-02-09
Uttar Pradesh,Cereals,Barley(Jau),,,2026-02-07,2286.0,predicted,hybrid_trend,HIGH,2280.0,10.0,2026-02-09
Uttar Pradesh,Cereals,Barley(Jau),,,2026-02-08,2290.0,predicted,hybrid_trend,HIGH,2280.0,10.0,2026-02-09
Uttar Pradesh,Cereals,Barley(Jau),,,2026-02-09,2294.0,predicted,hybrid_trend,HIGH,2280.0,10.0,2026-02-09
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-07,5524.81,predicted,hybrid_trend,HIGH,5539.22,-24.00999999999931,2026-02-09
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-08,5515.21,predicted,hybrid_trend,HIGH,5539.22,-24.00999999999931,2026-02-09
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),,,2026-02-09,5505.61,predicted,hybrid_trend,HIGH,5539.22,-24.00999999999931,2026-02-09
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-07,8850.0,predicted,hybrid_trend,HIGH,8850.0,0.0,2026-02-09
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-08,8850.0,predicted,hybrid_trend,HIGH,8850.0,0.0,2026-02-09
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),,,2026-02-09,8850.0,predicted,hybrid_trend,HIGH,8850.0,0.0,2026-02-09
Uttar Pradesh,Oil Seeds,Groundnut,,,2026-02-07,6780.0,predicted,hybrid_trend,HIGH,6750.0,50.0,2026-02-09
Uttar Pradesh,Oil Seeds,Groundnut,,,2026-02-08,6800.0,predicted,hybrid_trend,HIGH,6750.0,50.0,2026-02-09
Uttar Pradesh,Oil Seeds,Groundnut,,,2026-02-09,6820.0,predicted,hybrid_trend,HIGH,6750.0,50.0,2026-02-09
Uttar Pradesh,Cereals,Jowar(Sorghum),,,2026-02-07,7100.0,predicted,fallback_copy,LOW,7100.0,0.0,2026-02-09
Uttar Pradesh,Cereals,Jowar(Sorghum),,,2026-02-08,7100.0,predicted,fallback_copy,LOW,7100.0,0.0,2026-02-09
Uttar Pradesh,Cereals,Jowar(Sorghum),,,2026-02-09,7100.0,predicted,fallback_copy,LOW,7100.0,0.0,2026-02-09
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),,,2026-02-07,7076.89,predicted,hybrid_trend,HIGH,7072.22,7.780000000000655,2026-02-09
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),,,2026-02-08,7080.0,predicted,hybrid_trend,HIGH,7072.22,7.780000000000655,2026-02-09
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),,,2026-02-09,7083.11,predicted,hybrid_trend,HIGH,7072.22,7.780000000000655,2026-02-09
