state,commodity,commodity_group,district,market,predicted_for_date,predicted_price,model_used,rmse,mae,mape,confidence_score,trained_till_date,prediction_run_date,base_last_price,trend_used,price_date,price,price_type
Uttarakhand,Onion,Vegetables,,,2026-02-18,967.55,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1171.44,-339.80999999999995,2026-02-18,967.55,predicted
Uttarakhand,Onion,Vegetables,,,2026-02-19,831.63,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1171.44,-339.80999999999995,2026-02-19,831.63,predicted
Uttarakhand,Onion,Vegetables,,,2026-02-20,695.71,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1171.44,-339.80999999999995,2026-02-20,695.71,predicted
Uttarakhand,Paddy(Common),Cereals,,,2026-02-18,2040.0,fallback_copy,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,2040.0,0.0,2026-02-18,2040.0,predicted
Uttarakhand,Paddy(Common),Cereals,,,2026-02-19,2040.0,fallback_copy,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,2040.0,0.0,2026-02-19,2040.0,predicted
Uttarakhand,Paddy(Common),Cereals,,,2026-02-20,2040.0,fallback_copy,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,2040.0,0.0,2026-02-20,2040.0,predicted
Uttarakhand,Potato,Vegetables,,,2026-02-18,650.26,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,644.29,9.949999999999932,2026-02-18,650.26,predicted
Uttarakhand,Potato,Vegetables,,,2026-02-19,654.24,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,644.29,9.949999999999932,2026-02-19,654.24,predicted
Uttarakhand,Potato,Vegetables,,,2026-02-20,658.22,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,644.29,9.949999999999932,2026-02-20,658.22,predicted
Uttarakhand,Tomato,Vegetables,,,2026-02-18,1343.43,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1275.68,112.92000000000007,2026-02-18,1343.43,predicted
Uttarakhand,Tomato,Vegetables,,,2026-02-19,1388.6,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1275.68,112.92000000000007,2026-02-19,1388.6,predicted
Uttarakhand,Tomato,Vegetables,,,2026-02-20,1433.77,hybrid_trend,0.0,0.0,0.0,LOW,2026-02-17,2026-02-19,1275.68,112.92000000000007,2026-02-20,1433.77,predicted
