state,commodity_group,commodity,predicted_date,predicted_price,confidence_score,model_used
West Bengal,Oil Seeds,Groundnut,2026-01-26,9509.24,0.4,BOOTSTRAP
West Bengal,Oil Seeds,Groundnut,2026-01-27,9564.14,0.4,BOOTSTRAP
West Bengal,Oil Seeds,Groundnut,2026-01-28,9503.56,0.4,BOOTSTRAP
West Bengal,Cereals,Maize,2026-01-27,2299.14,0.65,MA
West Bengal,Cereals,Maize,2026-01-28,2294.4,0.65,MA
West Bengal,Cereals,Maize,2026-01-29,2295.68,0.65,MA
West Bengal,Oil Seeds,Mustard,2026-01-27,6515.41,0.85,ARIMA
West Bengal,Oil Seeds,Mustard,2026-01-28,6525.98,0.85,ARIMA
West Bengal,Oil Seeds,Mustard,2026-01-29,6523.8,0.85,ARIMA
West Bengal,Vegetables,Onion,2026-01-27,2035.83,0.85,ARIMA
West Bengal,Vegetables,Onion,2026-01-28,2030.63,0.85,ARIMA
West Bengal,Vegetables,Onion,2026-01-29,2033.09,0.85,ARIMA
West Bengal,Cereals,Paddy(Common),2026-01-27,2280.12,0.85,ARIMA
West Bengal,Cereals,Paddy(Common),2026-01-28,2284.52,0.85,ARIMA
West Bengal,Cereals,Paddy(Common),2026-01-29,2285.16,0.85,ARIMA
West Bengal,Vegetables,Potato,2026-01-27,1080.0,0.85,ARIMA
West Bengal,Vegetables,Potato,2026-01-28,1088.56,0.85,ARIMA
West Bengal,Vegetables,Potato,2026-01-29,1097.06,0.85,ARIMA
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-27,6721.66,0.85,ARIMA
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,6727.92,0.85,ARIMA
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,6729.73,0.85,ARIMA
West Bengal,Vegetables,Tomato,2026-01-27,2981.7,0.85,ARIMA
West Bengal,Vegetables,Tomato,2026-01-28,2972.83,0.85,ARIMA
West Bengal,Vegetables,Tomato,2026-01-29,2973.3,0.85,ARIMA
West Bengal,Cereals,Wheat,2026-01-27,2667.7,0.85,ARIMA
West Bengal,Cereals,Wheat,2026-01-28,2677.6,0.85,ARIMA
West Bengal,Cereals,Wheat,2026-01-29,2687.46,0.85,ARIMA
