state,commodity,predicted_date,predicted_price,confidence_score
West Bengal,Groundnut,2026-01-31,9600.0,HIGH
West Bengal,Groundnut,2026-02-01,9600.0,HIGH
West Bengal,Groundnut,2026-02-02,9600.0,HIGH
West Bengal,Lentil(Masur)(Whole),2026-01-31,10000.0,LOW
West Bengal,Lentil(Masur)(Whole),2026-02-01,10000.0,LOW
West Bengal,Lentil(Masur)(Whole),2026-02-02,10000.0,LOW
West Bengal,Maize,2026-01-31,2211.0,HIGH
West Bengal,Maize,2026-02-01,2195.0,HIGH
West Bengal,Maize,2026-02-02,2179.0,HIGH
West Bengal,Mustard,2026-01-31,7099.84,HIGH
West Bengal,Mustard,2026-02-01,7188.37,HIGH
West Bengal,Mustard,2026-02-02,7276.9,HIGH
West Bengal,Onion,2026-01-31,2075.39,HIGH
West Bengal,Onion,2026-02-01,2092.58,HIGH
West Bengal,Onion,2026-02-02,2109.77,HIGH
West Bengal,Paddy(Common),2026-01-31,2329.68,HIGH
West Bengal,Paddy(Common),2026-02-01,2338.38,HIGH
West Bengal,Paddy(Common),2026-02-02,2347.08,HIGH
West Bengal,Potato,2026-01-31,1055.06,HIGH
West Bengal,Potato,2026-02-01,1065.07,HIGH
West Bengal,Potato,2026-02-02,1075.08,HIGH
West Bengal,"Sesamum(Sesame,Gingelly,Til)",2026-01-31,6744.99,HIGH
West Bengal,"Sesamum(Sesame,Gingelly,Til)",2026-02-01,6743.93,HIGH
West Bengal,"Sesamum(Sesame,Gingelly,Til)",2026-02-02,6742.87,HIGH
West Bengal,Tomato,2026-01-31,2338.97,HIGH
West Bengal,Tomato,2026-02-01,2325.55,HIGH
West Bengal,Tomato,2026-02-02,2312.13,HIGH
West Bengal,Wheat,2026-01-31,2505.83,HIGH
West Bengal,Wheat,2026-02-01,2454.11,HIGH
West Bengal,Wheat,2026-02-02,2402.39,HIGH
