state,commodity,price_date,price,price_type
West Bengal,Groundnut,2026-01-31,9600.0,Predicted
West Bengal,Groundnut,2026-02-01,9600.0,Predicted
West Bengal,Groundnut,2026-02-02,9600.0,Predicted
West Bengal,Lentil(Masur)(Whole),2026-01-31,10000.0,Predicted
West Bengal,Lentil(Masur)(Whole),2026-02-01,10000.0,Predicted
West Bengal,Lentil(Masur)(Whole),2026-02-02,10000.0,Predicted
West Bengal,Maize,2026-02-02,2182.95,Predicted
West Bengal,Maize,2026-02-03,2205.0,Predicted
West Bengal,Maize,2026-02-04,2227.05,Predicted
West Bengal,Mustard,2026-02-02,6813.48,Predicted
West Bengal,Mustard,2026-02-03,6926.4,Predicted
West Bengal,Mustard,2026-02-04,7039.32,Predicted
West Bengal,Onion,2026-02-02,1957.76,Predicted
West Bengal,Onion,2026-02-03,1930.52,Predicted
West Bengal,Onion,2026-02-04,1903.28,Predicted
West Bengal,Paddy(Common),2026-02-02,2158.79,Predicted
West Bengal,Paddy(Common),2026-02-03,2103.0,Predicted
West Bengal,Paddy(Common),2026-02-04,2047.21,Predicted
West Bengal,Potato,2026-02-02,983.77,Predicted
West Bengal,Potato,2026-02-03,974.8,Predicted
West Bengal,Potato,2026-02-04,965.83,Predicted
West Bengal,"Sesamum(Sesame,Gingelly,Til)",2026-02-02,6670.0,Predicted
West Bengal,"Sesamum(Sesame,Gingelly,Til)",2026-02-03,6650.0,Predicted
West Bengal,"Sesamum(Sesame,Gingelly,Til)",2026-02-04,6630.0,Predicted
West Bengal,Tomato,2026-02-02,2073.63,Predicted
West Bengal,Tomato,2026-02-03,2047.13,Predicted
West Bengal,Tomato,2026-02-04,2020.63,Predicted
West Bengal,Wheat,2026-02-02,2718.34,Predicted
West Bengal,Wheat,2026-02-03,2724.24,Predicted
West Bengal,Wheat,2026-02-04,2730.14,Predicted
