state,commodity_group,commodity,price_date,price,source_date
Andhra Pradesh,Cereals,Paddy(Common),2026-01-28,2350.0,2026-01-30
Andhra Pradesh,Fibre Crops,Cotton,2026-01-28,8080.0,2026-01-30
Andhra Pradesh,Fibre Crops,Cotton,2026-01-27,8011.0,2026-01-30
Andhra Pradesh,Oil Seeds,Groundnut,2026-01-28,10729.65,2026-01-30
Andhra Pradesh,Oil Seeds,Groundnut,2026-01-27,10666.0,2026-01-30
Andhra Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,8169.0,2026-01-30
Andhra Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,8311.0,2026-01-30
Andhra Pradesh,Vegetables,Onion,2026-01-28,1485.0,2026-01-30
Andhra Pradesh,Vegetables,Potato,2026-01-28,2500.0,2026-01-30
Andhra Pradesh,Vegetables,Potato,2026-01-27,2500.0,2026-01-30
Andhra Pradesh,Vegetables,Potato,2026-01-26,2500.0,2026-01-30
Andhra Pradesh,Vegetables,Tomato,2026-01-28,1520.85,2026-01-30
Andhra Pradesh,Vegetables,Tomato,2026-01-27,1639.63,2026-01-30
Andhra Pradesh,Vegetables,Tomato,2026-01-26,1682.46,2026-01-30
