state,commodity_group,commodity,price_date,price,source_date
Andhra Pradesh,Cereals,Paddy(Common),2026-01-28,2350.0,2026-02-01
Andhra Pradesh,Fibre Crops,Cotton,2026-01-30,7980.0,2026-02-01
Andhra Pradesh,Fibre Crops,Cotton,2026-01-29,8090.0,2026-02-01
Andhra Pradesh,Fibre Crops,Cotton,2026-01-28,8080.0,2026-02-01
Andhra Pradesh,Oil Seeds,Groundnut,2026-01-30,8299.0,2026-02-01
Andhra Pradesh,Oil Seeds,Groundnut,2026-01-29,9889.0,2026-02-01
Andhra Pradesh,Oil Seeds,Groundnut,2026-01-28,10729.65,2026-02-01
Andhra Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,8169.0,2026-02-01
Andhra Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,5350.0,2026-02-01
Andhra Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,5275.0,2026-02-01
Andhra Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,8311.0,2026-02-01
Andhra Pradesh,Vegetables,Onion,2026-01-28,1485.0,2026-02-01
Andhra Pradesh,Vegetables,Potato,2026-01-30,2000.0,2026-02-01
Andhra Pradesh,Vegetables,Potato,2026-01-29,2000.0,2026-02-01
Andhra Pradesh,Vegetables,Potato,2026-01-28,2500.0,2026-02-01
Andhra Pradesh,Vegetables,Tomato,2026-01-30,1246.59,2026-02-01
Andhra Pradesh,Vegetables,Tomato,2026-01-29,1354.31,2026-02-01
Andhra Pradesh,Vegetables,Tomato,2026-01-28,1520.85,2026-02-01
