state,commodity_group,commodity,price_date,price,source_date,price_type
Andhra Pradesh,Fibre Crops,Cotton,2026-02-06,8019.0,2026-02-09,Actual
Andhra Pradesh,Fibre Crops,Cotton,2026-02-05,8029.0,2026-02-09,Actual
Andhra Pradesh,Fibre Crops,Cotton,2026-02-04,8069.0,2026-02-09,Actual
Andhra Pradesh,Oil Seeds,Groundnut,2026-02-06,7724.32,2026-02-09,Actual
Andhra Pradesh,Oil Seeds,Groundnut,2026-02-05,7697.24,2026-02-09,Actual
Andhra Pradesh,Oil Seeds,Groundnut,2026-02-04,7395.57,2026-02-09,Actual
Andhra Pradesh,Oil Seeds,Sunflower Seed,2026-02-04,6331.0,2026-02-09,Actual
Andhra Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-05,8159.0,2026-02-09,Actual
Andhra Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-02-05,5509.0,2026-02-09,Actual
Andhra Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-02-05,8349.0,2026-02-09,Actual
Andhra Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-02-04,8569.0,2026-02-09,Actual
Andhra Pradesh,Vegetables,Onion,2026-02-05,1459.0,2026-02-09,Actual
Andhra Pradesh,Vegetables,Onion,2026-02-04,1285.0,2026-02-09,Actual
Andhra Pradesh,Vegetables,Potato,2026-02-06,1600.0,2026-02-09,Actual
Andhra Pradesh,Vegetables,Tomato,2026-02-06,1187.93,2026-02-09,Actual
Andhra Pradesh,Vegetables,Tomato,2026-02-05,1216.1,2026-02-09,Actual
Andhra Pradesh,Vegetables,Tomato,2026-02-04,1177.65,2026-02-09,Actual
