state,commodity_group,commodity,price_date,price,source_date
Assam,Cereals,Paddy(Common),2026-01-27,2050.0,2026-01-30
Assam,Oil Seeds,Mustard,2026-01-27,6500.0,2026-01-30
Assam,Pulses,Lentil(Masur)(Whole),2026-01-28,9150.46,2026-01-30
Assam,Pulses,Lentil(Masur)(Whole),2026-01-27,8831.82,2026-01-30
Assam,Vegetables,Onion,2026-01-28,2900.0,2026-01-30
Assam,Vegetables,Onion,2026-01-27,2786.24,2026-01-30
Assam,Vegetables,Potato,2026-01-28,1259.11,2026-01-30
Assam,Vegetables,Potato,2026-01-27,1269.65,2026-01-30
Assam,Vegetables,Tomato,2026-01-28,2805.46,2026-01-30
Assam,Vegetables,Tomato,2026-01-27,3025.18,2026-01-30
