state,commodity_group,commodity,price_date,price,source_date,price_type
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),2026-02-13,2445.45,2026-02-15,Actual
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),2026-02-12,2559.81,2026-02-15,Actual
Gujarat,Cereals,Bajra(Pearl Millet/Cumbu),2026-02-11,2538.28,2026-02-15,Actual
Gujarat,Cereals,Jowar(Sorghum),2026-02-13,5320.76,2026-02-15,Actual
Gujarat,Cereals,Jowar(Sorghum),2026-02-12,5184.0,2026-02-15,Actual
Gujarat,Cereals,Jowar(Sorghum),2026-02-11,5094.11,2026-02-15,Actual
Gujarat,Cereals,Maize,2026-02-13,2000.0,2026-02-15,Actual
Gujarat,Cereals,Maize,2026-02-11,1684.65,2026-02-15,Actual
Gujarat,Cereals,Paddy(Common),2026-02-13,2330.92,2026-02-15,Actual
Gujarat,Cereals,Paddy(Common),2026-02-12,2190.24,2026-02-15,Actual
Gujarat,Cereals,Paddy(Common),2026-02-11,2215.47,2026-02-15,Actual
Gujarat,Cereals,Wheat,2026-02-13,2473.84,2026-02-15,Actual
Gujarat,Cereals,Wheat,2026-02-12,2441.32,2026-02-15,Actual
Gujarat,Cereals,Wheat,2026-02-11,2493.38,2026-02-15,Actual
Gujarat,Fibre Crops,Cotton,2026-02-13,7735.83,2026-02-15,Actual
Gujarat,Fibre Crops,Cotton,2026-02-12,7749.81,2026-02-15,Actual
Gujarat,Fibre Crops,Cotton,2026-02-11,7686.35,2026-02-15,Actual
Gujarat,Oil Seeds,Groundnut,2026-02-13,7315.14,2026-02-15,Actual
Gujarat,Oil Seeds,Groundnut,2026-02-12,7294.03,2026-02-15,Actual
Gujarat,Oil Seeds,Groundnut,2026-02-11,7191.52,2026-02-15,Actual
Gujarat,Oil Seeds,Mustard,2026-02-13,6068.91,2026-02-15,Actual
Gujarat,Oil Seeds,Mustard,2026-02-12,6154.22,2026-02-15,Actual
Gujarat,Oil Seeds,Mustard,2026-02-11,6134.07,2026-02-15,Actual
Gujarat,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-02-13,8594.12,2026-02-15,Actual
Gujarat,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-02-12,9050.52,2026-02-15,Actual
Gujarat,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-02-11,9632.84,2026-02-15,Actual
Gujarat,Oil Seeds,Soyabean,2026-02-13,5212.15,2026-02-15,Actual
Gujarat,Oil Seeds,Soyabean,2026-02-12,5130.78,2026-02-15,Actual
Gujarat,Oil Seeds,Soyabean,2026-02-11,4855.08,2026-02-15,Actual
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-13,7232.69,2026-02-15,Actual
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-12,7266.89,2026-02-15,Actual
Gujarat,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-11,7297.79,2026-02-15,Actual
Gujarat,Pulses,Bengal Gram(Gram)(Whole),2026-02-13,5374.73,2026-02-15,Actual
Gujarat,Pulses,Bengal Gram(Gram)(Whole),2026-02-12,5259.45,2026-02-15,Actual
Gujarat,Pulses,Bengal Gram(Gram)(Whole),2026-02-11,5487.23,2026-02-15,Actual
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),2026-02-13,7190.15,2026-02-15,Actual
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),2026-02-12,7379.35,2026-02-15,Actual
Gujarat,Pulses,Black Gram(Urd Beans)(Whole),2026-02-11,7019.51,2026-02-15,Actual
Gujarat,Pulses,Green Gram(Moong)(Whole),2026-02-13,7597.67,2026-02-15,Actual
Gujarat,Pulses,Green Gram(Moong)(Whole),2026-02-12,7225.14,2026-02-15,Actual
Gujarat,Pulses,Green Gram(Moong)(Whole),2026-02-11,6920.61,2026-02-15,Actual
Gujarat,Vegetables,Onion,2026-02-13,1108.47,2026-02-15,Actual
Gujarat,Vegetables,Onion,2026-02-12,1095.97,2026-02-15,Actual
Gujarat,Vegetables,Onion,2026-02-11,1137.5,2026-02-15,Actual
Gujarat,Vegetables,Potato,2026-02-13,781.86,2026-02-15,Actual
Gujarat,Vegetables,Potato,2026-02-12,811.43,2026-02-15,Actual
Gujarat,Vegetables,Potato,2026-02-11,777.14,2026-02-15,Actual
Gujarat,Vegetables,Tomato,2026-02-13,1016.01,2026-02-15,Actual
Gujarat,Vegetables,Tomato,2026-02-12,1056.39,2026-02-15,Actual
Gujarat,Vegetables,Tomato,2026-02-11,1061.33,2026-02-15,Actual
