state,commodity_group,commodity,price_date,price,source_date
Haryana,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,1860.0,2026-02-01
Haryana,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-29,1850.0,2026-02-01
Haryana,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,2000.0,2026-02-01
Haryana,Cereals,Paddy(Common),2026-01-30,3878.62,2026-02-01
Haryana,Cereals,Paddy(Common),2026-01-29,4046.15,2026-02-01
Haryana,Cereals,Paddy(Common),2026-01-28,4260.54,2026-02-01
Haryana,Fibre Crops,Cotton,2026-01-30,7504.49,2026-02-01
Haryana,Fibre Crops,Cotton,2026-01-29,7620.0,2026-02-01
Haryana,Fibre Crops,Cotton,2026-01-28,7628.29,2026-02-01
Haryana,Oil Seeds,Mustard,2026-01-30,6800.0,2026-02-01
Haryana,Oil Seeds,Mustard,2026-01-28,6221.95,2026-02-01
Haryana,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,5105.0,2026-02-01
Haryana,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,5318.0,2026-02-01
Haryana,Pulses,Green Gram(Moong)(Whole),2026-01-30,6355.0,2026-02-01
Haryana,Pulses,Green Gram(Moong)(Whole),2026-01-28,6545.0,2026-02-01
Haryana,Vegetables,Onion,2026-01-30,1589.43,2026-02-01
Haryana,Vegetables,Onion,2026-01-29,1713.43,2026-02-01
Haryana,Vegetables,Onion,2026-01-28,1703.51,2026-02-01
Haryana,Vegetables,Potato,2026-01-30,708.86,2026-02-01
Haryana,Vegetables,Potato,2026-01-29,663.65,2026-02-01
Haryana,Vegetables,Potato,2026-01-28,679.12,2026-02-01
Haryana,Vegetables,Tomato,2026-01-30,2018.86,2026-02-01
Haryana,Vegetables,Tomato,2026-01-29,2101.27,2026-02-01
Haryana,Vegetables,Tomato,2026-01-28,2448.02,2026-02-01
