state,commodity_group,commodity,price_date,price,source_date,price_type
Haryana,Cereals,Bajra(Pearl Millet/Cumbu),2026-03-31,1900.0,2026-04-02,Actual
Haryana,Cereals,Barley(Jau),2026-03-31,2251.06,2026-04-02,Actual
Haryana,Cereals,Barley(Jau),2026-03-30,2156.59,2026-04-02,Actual
Haryana,Cereals,Barley(Jau),2026-03-29,2078.57,2026-04-02,Actual
Haryana,Fibre Crops,Cotton,2026-03-31,7475.15,2026-04-02,Actual
Haryana,Fibre Crops,Cotton,2026-03-30,7295.51,2026-04-02,Actual
Haryana,Oil Seeds,Mustard,2026-03-31,6344.86,2026-04-02,Actual
Haryana,Oil Seeds,Mustard,2026-03-30,6312.83,2026-04-02,Actual
Haryana,Oil Seeds,Mustard,2026-03-29,6351.75,2026-04-02,Actual
Haryana,Pulses,Bengal Gram(Gram)(Whole),2026-03-30,5140.0,2026-04-02,Actual
Haryana,Vegetables,Onion,2026-03-31,1203.87,2026-04-02,Actual
Haryana,Vegetables,Onion,2026-03-30,1213.51,2026-04-02,Actual
Haryana,Vegetables,Onion,2026-03-29,1216.36,2026-04-02,Actual
Haryana,Vegetables,Potato,2026-03-31,564.47,2026-04-02,Actual
Haryana,Vegetables,Potato,2026-03-30,540.19,2026-04-02,Actual
Haryana,Vegetables,Potato,2026-03-29,467.22,2026-04-02,Actual
Haryana,Vegetables,Tomato,2026-03-31,1103.99,2026-04-02,Actual
Haryana,Vegetables,Tomato,2026-03-30,1093.93,2026-04-02,Actual
Haryana,Vegetables,Tomato,2026-03-29,1097.83,2026-04-02,Actual
