state,commodity_group,commodity,price_date,price,source_date,price_type
Karnataka,Cereals,Jowar(Sorghum),2026-03-02,4606.0,2026-03-04,Actual
Karnataka,Cereals,Paddy(Common),2026-03-02,2769.0,2026-03-04,Actual
Karnataka,Fibre Crops,Cotton,2026-03-02,7867.89,2026-03-04,Actual
Karnataka,Fibre Crops,Cotton,2026-03-01,8000.0,2026-03-04,Actual
Karnataka,Fibre Crops,Cotton,2026-02-28,7583.73,2026-03-04,Actual
Karnataka,Oil Seeds,Copra,2026-03-02,28000.0,2026-03-04,Actual
Karnataka,Oil Seeds,Copra,2026-03-01,28500.0,2026-03-04,Actual
Karnataka,Oil Seeds,Groundnut,2026-03-02,9111.0,2026-03-04,Actual
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),2026-03-02,7744.97,2026-03-04,Actual
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),2026-03-01,6876.25,2026-03-04,Actual
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-28,6816.66,2026-03-04,Actual
Karnataka,Pulses,Bengal Gram(Gram)(Whole),2026-03-01,5000.0,2026-03-04,Actual
Karnataka,Pulses,Bengal Gram(Gram)(Whole),2026-02-28,4800.0,2026-03-04,Actual
