state,commodity_group,commodity,price_date,price,source_date
Kerala,Oil Seeds,Copra,2026-01-28,19707.32,2026-01-30
Kerala,Oil Seeds,Copra,2026-01-27,20054.89,2026-01-30
Kerala,Oil Seeds,Copra,2026-01-26,21000.0,2026-01-30
Kerala,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,13100.0,2026-01-30
Kerala,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-27,12366.67,2026-01-30
Kerala,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-26,11500.0,2026-01-30
Kerala,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,8250.0,2026-01-30
Kerala,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,8250.0,2026-01-30
Kerala,Pulses,Bengal Gram(Gram)(Whole),2026-01-26,7900.0,2026-01-30
Kerala,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,11700.0,2026-01-30
Kerala,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,11880.0,2026-01-30
Kerala,Pulses,Black Gram(Urd Beans)(Whole),2026-01-26,12066.67,2026-01-30
Kerala,Pulses,Green Gram(Moong)(Whole),2026-01-28,11233.33,2026-01-30
Kerala,Pulses,Green Gram(Moong)(Whole),2026-01-27,11233.33,2026-01-30
Kerala,Pulses,Green Gram(Moong)(Whole),2026-01-26,10300.0,2026-01-30
Kerala,Vegetables,Onion,2026-01-28,3298.75,2026-01-30
Kerala,Vegetables,Onion,2026-01-27,3425.05,2026-01-30
Kerala,Vegetables,Onion,2026-01-26,3506.93,2026-01-30
Kerala,Vegetables,Potato,2026-01-28,2758.76,2026-01-30
Kerala,Vegetables,Potato,2026-01-27,3459.56,2026-01-30
Kerala,Vegetables,Potato,2026-01-26,3470.99,2026-01-30
Kerala,Vegetables,Tomato,2026-01-28,3340.11,2026-01-30
Kerala,Vegetables,Tomato,2026-01-27,3696.3,2026-01-30
Kerala,Vegetables,Tomato,2026-01-26,3655.41,2026-01-30
