state,commodity_group,commodity,price_date,price,source_date
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,1935.05,2026-02-01
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-29,2790.77,2026-02-01
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,1917.98,2026-02-01
Madhya Pradesh,Cereals,Barley(Jau),2026-01-30,2345.48,2026-02-01
Madhya Pradesh,Cereals,Barley(Jau),2026-01-29,2342.52,2026-02-01
Madhya Pradesh,Cereals,Barley(Jau),2026-01-28,2316.81,2026-02-01
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-30,7100.0,2026-02-01
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-29,5707.71,2026-02-01
Madhya Pradesh,Cereals,Maize,2026-01-30,1553.43,2026-02-01
Madhya Pradesh,Cereals,Maize,2026-01-29,1541.8,2026-02-01
Madhya Pradesh,Cereals,Maize,2026-01-28,1558.05,2026-02-01
Madhya Pradesh,Cereals,Paddy(Common),2026-01-30,3778.26,2026-02-01
Madhya Pradesh,Cereals,Paddy(Common),2026-01-29,3735.94,2026-02-01
Madhya Pradesh,Cereals,Paddy(Common),2026-01-28,3741.8,2026-02-01
Madhya Pradesh,Cereals,Wheat,2026-01-30,2504.25,2026-02-01
Madhya Pradesh,Cereals,Wheat,2026-01-29,2505.99,2026-02-01
Madhya Pradesh,Cereals,Wheat,2026-01-28,2539.32,2026-02-01
Madhya Pradesh,Fibre Crops,Cotton,2026-01-30,7719.04,2026-02-01
Madhya Pradesh,Fibre Crops,Cotton,2026-01-29,7609.07,2026-02-01
Madhya Pradesh,Fibre Crops,Cotton,2026-01-28,7590.91,2026-02-01
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-30,6298.37,2026-02-01
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-29,7054.49,2026-02-01
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-28,6201.89,2026-02-01
Madhya Pradesh,Oil Seeds,Mustard,2026-01-30,6489.4,2026-02-01
Madhya Pradesh,Oil Seeds,Mustard,2026-01-29,6288.25,2026-02-01
Madhya Pradesh,Oil Seeds,Mustard,2026-01-28,6493.71,2026-02-01
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-01-29,9250.0,2026-02-01
Madhya Pradesh,Oil Seeds,Safflower,2026-01-28,3245.0,2026-02-01
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-30,8921.59,2026-02-01
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,8018.22,2026-02-01
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,8641.47,2026-02-01
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-30,5607.26,2026-02-01
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-29,5640.95,2026-02-01
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-28,5534.33,2026-02-01
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,7359.53,2026-02-01
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-29,7657.1,2026-02-01
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,7704.95,2026-02-01
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,5572.77,2026-02-01
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,5516.82,2026-02-01
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,5557.72,2026-02-01
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-30,8336.2,2026-02-01
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-29,7862.74,2026-02-01
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,7644.65,2026-02-01
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-30,6970.81,2026-02-01
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-29,6964.94,2026-02-01
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-28,7511.9,2026-02-01
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-30,6018.61,2026-02-01
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-29,6360.53,2026-02-01
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-28,5810.66,2026-02-01
Madhya Pradesh,Vegetables,Onion,2026-01-30,1195.55,2026-02-01
Madhya Pradesh,Vegetables,Onion,2026-01-29,1158.0,2026-02-01
Madhya Pradesh,Vegetables,Onion,2026-01-28,1097.97,2026-02-01
Madhya Pradesh,Vegetables,Potato,2026-01-30,1011.69,2026-02-01
Madhya Pradesh,Vegetables,Potato,2026-01-29,1085.21,2026-02-01
Madhya Pradesh,Vegetables,Potato,2026-01-28,871.1,2026-02-01
Madhya Pradesh,Vegetables,Tomato,2026-01-28,1800.0,2026-02-01
