state,commodity_group,commodity,price_date,price,source_date
Maharashtra,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,3664.16,2026-02-01
Maharashtra,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-29,3774.03,2026-02-01
Maharashtra,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,3773.22,2026-02-01
Maharashtra,Cereals,Jowar(Sorghum),2026-01-30,5442.56,2026-02-01
Maharashtra,Cereals,Jowar(Sorghum),2026-01-29,3900.0,2026-02-01
Maharashtra,Cereals,Jowar(Sorghum),2026-01-28,5879.38,2026-02-01
Maharashtra,Cereals,Maize,2026-01-30,3233.54,2026-02-01
Maharashtra,Cereals,Maize,2026-01-29,3250.0,2026-02-01
Maharashtra,Cereals,Maize,2026-01-28,3020.07,2026-02-01
Maharashtra,Cereals,Paddy(Common),2026-01-30,2811.09,2026-02-01
Maharashtra,Cereals,Paddy(Common),2026-01-29,2805.51,2026-02-01
Maharashtra,Cereals,Paddy(Common),2026-01-28,2688.18,2026-02-01
Maharashtra,Cereals,Ragi(Finger Millet),2026-01-30,5200.0,2026-02-01
Maharashtra,Cereals,Ragi(Finger Millet),2026-01-28,5150.0,2026-02-01
Maharashtra,Cereals,Wheat,2026-01-30,3339.3,2026-02-01
Maharashtra,Cereals,Wheat,2026-01-29,3548.92,2026-02-01
Maharashtra,Cereals,Wheat,2026-01-28,3485.77,2026-02-01
Maharashtra,Fibre Crops,Cotton,2026-01-30,7955.81,2026-02-01
Maharashtra,Fibre Crops,Cotton,2026-01-29,7956.46,2026-02-01
Maharashtra,Fibre Crops,Cotton,2026-01-28,7986.74,2026-02-01
Maharashtra,Oil Seeds,Groundnut,2026-01-30,8699.0,2026-02-01
Maharashtra,Oil Seeds,Groundnut,2026-01-28,8102.0,2026-02-01
Maharashtra,Oil Seeds,Mustard,2026-01-30,8000.0,2026-02-01
Maharashtra,Oil Seeds,Mustard,2026-01-29,8000.0,2026-02-01
Maharashtra,Oil Seeds,Mustard,2026-01-28,8000.0,2026-02-01
Maharashtra,Oil Seeds,Safflower,2026-01-30,7815.48,2026-02-01
Maharashtra,Oil Seeds,Safflower,2026-01-29,7461.62,2026-02-01
Maharashtra,Oil Seeds,Safflower,2026-01-28,6800.0,2026-02-01
Maharashtra,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-30,16454.55,2026-02-01
Maharashtra,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,15769.23,2026-02-01
Maharashtra,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,15547.95,2026-02-01
Maharashtra,Oil Seeds,Soyabean,2026-01-30,5700.02,2026-02-01
Maharashtra,Oil Seeds,Soyabean,2026-01-29,5709.91,2026-02-01
Maharashtra,Oil Seeds,Soyabean,2026-01-28,5581.93,2026-02-01
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,8536.48,2026-02-01
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-29,8615.57,2026-02-01
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,8402.79,2026-02-01
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,6804.95,2026-02-01
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,6713.7,2026-02-01
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,7040.1,2026-02-01
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-01-30,9318.75,2026-02-01
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-01-29,9410.0,2026-02-01
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,9027.38,2026-02-01
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-01-30,10299.1,2026-02-01
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-01-29,10347.19,2026-02-01
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-01-28,10397.76,2026-02-01
Maharashtra,Pulses,Lentil(Masur)(Whole),2026-01-30,8159.29,2026-02-01
Maharashtra,Pulses,Lentil(Masur)(Whole),2026-01-29,7528.87,2026-02-01
Maharashtra,Pulses,Lentil(Masur)(Whole),2026-01-28,7957.44,2026-02-01
