state,commodity_group,commodity,price_date,price,source_date,price_type
Maharashtra,Cereals,Bajra(Pearl Millet/Cumbu),2026-02-21,3677.61,2026-02-24,Actual
Maharashtra,Cereals,Bajra(Pearl Millet/Cumbu),2026-02-20,3602.23,2026-02-24,Actual
Maharashtra,Cereals,Jowar(Sorghum),2026-02-21,5567.02,2026-02-24,Actual
Maharashtra,Cereals,Jowar(Sorghum),2026-02-20,5468.03,2026-02-24,Actual
Maharashtra,Cereals,Maize,2026-02-21,2800.0,2026-02-24,Actual
Maharashtra,Cereals,Maize,2026-02-20,3246.03,2026-02-24,Actual
Maharashtra,Cereals,Paddy(Common),2026-02-22,2750.1,2026-02-24,Actual
Maharashtra,Cereals,Paddy(Common),2026-02-21,2672.97,2026-02-24,Actual
Maharashtra,Cereals,Paddy(Common),2026-02-20,2783.9,2026-02-24,Actual
Maharashtra,Cereals,Ragi(Finger Millet),2026-02-21,5200.0,2026-02-24,Actual
Maharashtra,Cereals,Ragi(Finger Millet),2026-02-20,5300.0,2026-02-24,Actual
Maharashtra,Cereals,Wheat,2026-02-22,2955.5,2026-02-24,Actual
Maharashtra,Cereals,Wheat,2026-02-21,3122.81,2026-02-24,Actual
Maharashtra,Cereals,Wheat,2026-02-20,3479.12,2026-02-24,Actual
Maharashtra,Fibre Crops,Cotton,2026-02-21,7778.37,2026-02-24,Actual
Maharashtra,Fibre Crops,Cotton,2026-02-20,7939.31,2026-02-24,Actual
Maharashtra,Oil Seeds,Groundnut,2026-02-21,7375.0,2026-02-24,Actual
Maharashtra,Oil Seeds,Mustard,2026-02-21,6500.0,2026-02-24,Actual
Maharashtra,Oil Seeds,Mustard,2026-02-20,7996.9,2026-02-24,Actual
Maharashtra,Oil Seeds,Safflower,2026-02-21,6125.0,2026-02-24,Actual
Maharashtra,Oil Seeds,Safflower,2026-02-20,6406.38,2026-02-24,Actual
Maharashtra,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-02-22,13000.0,2026-02-24,Actual
Maharashtra,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-02-20,15481.84,2026-02-24,Actual
Maharashtra,Oil Seeds,Soyabean,2026-02-21,5352.91,2026-02-24,Actual
Maharashtra,Oil Seeds,Soyabean,2026-02-20,5352.22,2026-02-24,Actual
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-22,8103.61,2026-02-24,Actual
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-21,8185.97,2026-02-24,Actual
Maharashtra,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-20,8157.47,2026-02-24,Actual
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-02-22,6500.0,2026-02-24,Actual
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-02-21,6921.53,2026-02-24,Actual
Maharashtra,Pulses,Bengal Gram(Gram)(Whole),2026-02-20,7056.56,2026-02-24,Actual
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-02-22,10500.0,2026-02-24,Actual
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-02-21,9050.0,2026-02-24,Actual
Maharashtra,Pulses,Black Gram(Urd Beans)(Whole),2026-02-20,9280.8,2026-02-24,Actual
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-02-22,10500.0,2026-02-24,Actual
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-02-21,9100.0,2026-02-24,Actual
Maharashtra,Pulses,Green Gram(Moong)(Whole),2026-02-20,10342.84,2026-02-24,Actual
Maharashtra,Pulses,Lentil(Masur)(Whole),2026-02-21,7050.0,2026-02-24,Actual
Maharashtra,Pulses,Lentil(Masur)(Whole),2026-02-20,8777.74,2026-02-24,Actual
