state,commodity_group,commodity,price_date,price,source_date
Manipur,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,8750.0,2026-01-31
Manipur,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,7697.37,2026-01-31
Manipur,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,8750.0,2026-01-31
Manipur,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,13750.0,2026-01-31
Manipur,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,13750.0,2026-01-31
Manipur,Vegetables,Onion,2026-01-29,3750.0,2026-01-31
Manipur,Vegetables,Onion,2026-01-28,3677.59,2026-01-31
Manipur,Vegetables,Onion,2026-01-27,3750.0,2026-01-31
Manipur,Vegetables,Potato,2026-01-29,2250.0,2026-01-31
Manipur,Vegetables,Potato,2026-01-28,2250.0,2026-01-31
Manipur,Vegetables,Potato,2026-01-27,2250.0,2026-01-31
