state,commodity_group,commodity,price_date,price,source_date
Punjab,Cereals,Wheat,2026-01-28,2440.0,2026-01-31
Punjab,Fibre Crops,Cotton,2026-01-29,7688.94,2026-01-31
Punjab,Fibre Crops,Cotton,2026-01-28,7699.23,2026-01-31
Punjab,Fibre Crops,Cotton,2026-01-27,7607.98,2026-01-31
Punjab,Oil Seeds,Mustard,2026-01-27,6390.0,2026-01-31
Punjab,Vegetables,Onion,2026-01-29,1831.48,2026-01-31
Punjab,Vegetables,Onion,2026-01-28,1638.44,2026-01-31
Punjab,Vegetables,Onion,2026-01-27,1851.45,2026-01-31
Punjab,Vegetables,Potato,2026-01-29,348.67,2026-01-31
Punjab,Vegetables,Potato,2026-01-28,361.54,2026-01-31
Punjab,Vegetables,Potato,2026-01-27,347.16,2026-01-31
Punjab,Vegetables,Tomato,2026-01-29,1875.35,2026-01-31
Punjab,Vegetables,Tomato,2026-01-28,1757.09,2026-01-31
Punjab,Vegetables,Tomato,2026-01-27,1783.6,2026-01-31
