state,commodity_group,commodity,price_date,price,source_date
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,2038.88,2026-01-30
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-27,1986.92,2026-01-30
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-26,1985.26,2026-01-30
Rajasthan,Cereals,Barley(Jau),2026-01-28,2300.0,2026-01-30
Rajasthan,Cereals,Barley(Jau),2026-01-27,2262.73,2026-01-30
Rajasthan,Cereals,Jowar(Sorghum),2026-01-28,2116.05,2026-01-30
Rajasthan,Cereals,Jowar(Sorghum),2026-01-27,2199.5,2026-01-30
Rajasthan,Cereals,Jowar(Sorghum),2026-01-26,2700.0,2026-01-30
Rajasthan,Cereals,Maize,2026-01-28,1565.17,2026-01-30
Rajasthan,Cereals,Maize,2026-01-27,1619.39,2026-01-30
Rajasthan,Cereals,Maize,2026-01-26,1750.0,2026-01-30
Rajasthan,Cereals,Paddy(Common),2026-01-28,3349.98,2026-01-30
Rajasthan,Cereals,Paddy(Common),2026-01-27,3349.92,2026-01-30
Rajasthan,Cereals,Wheat,2026-01-28,2554.84,2026-01-30
Rajasthan,Cereals,Wheat,2026-01-27,2616.77,2026-01-30
Rajasthan,Cereals,Wheat,2026-01-26,2460.0,2026-01-30
Rajasthan,Fibre Crops,Cotton,2026-01-28,7745.18,2026-01-30
Rajasthan,Fibre Crops,Cotton,2026-01-27,7659.16,2026-01-30
Rajasthan,Fibre Crops,Cotton,2026-01-26,7740.0,2026-01-30
Rajasthan,Oil Seeds,Groundnut,2026-01-28,6018.36,2026-01-30
Rajasthan,Oil Seeds,Groundnut,2026-01-27,6445.65,2026-01-30
Rajasthan,Oil Seeds,Mustard,2026-01-28,6532.71,2026-01-30
Rajasthan,Oil Seeds,Mustard,2026-01-27,6367.21,2026-01-30
Rajasthan,Oil Seeds,Mustard,2026-01-26,5300.0,2026-01-30
Rajasthan,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,14140.48,2026-01-30
Rajasthan,Oil Seeds,Soyabean,2026-01-28,5280.11,2026-01-30
Rajasthan,Oil Seeds,Soyabean,2026-01-27,4947.47,2026-01-30
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,6800.0,2026-01-30
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-27,6210.0,2026-01-30
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,5245.74,2026-01-30
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,4946.48,2026-01-30
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-26,5150.0,2026-01-30
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,6863.36,2026-01-30
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,6226.27,2026-01-30
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-28,6952.98,2026-01-30
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-27,6662.08,2026-01-30
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-26,6729.82,2026-01-30
Rajasthan,Pulses,Lentil(Masur)(Whole),2026-01-28,5953.92,2026-01-30
Rajasthan,Vegetables,Onion,2026-01-28,1345.3,2026-01-30
Rajasthan,Vegetables,Onion,2026-01-27,1365.82,2026-01-30
Rajasthan,Vegetables,Onion,2026-01-26,1239.14,2026-01-30
Rajasthan,Vegetables,Potato,2026-01-28,581.43,2026-01-30
Rajasthan,Vegetables,Potato,2026-01-27,515.15,2026-01-30
Rajasthan,Vegetables,Potato,2026-01-26,647.37,2026-01-30
Rajasthan,Vegetables,Tomato,2026-01-28,1404.47,2026-01-30
Rajasthan,Vegetables,Tomato,2026-01-27,1500.81,2026-01-30
Rajasthan,Vegetables,Tomato,2026-01-26,1171.37,2026-01-30
