state,commodity_group,commodity,price_date,price,source_date
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,1961.42,2026-02-01
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-29,2184.0,2026-02-01
Rajasthan,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,2038.88,2026-02-01
Rajasthan,Cereals,Barley(Jau),2026-01-30,1566.22,2026-02-01
Rajasthan,Cereals,Barley(Jau),2026-01-29,2384.73,2026-02-01
Rajasthan,Cereals,Barley(Jau),2026-01-28,2300.0,2026-02-01
Rajasthan,Cereals,Jowar(Sorghum),2026-01-30,4600.0,2026-02-01
Rajasthan,Cereals,Jowar(Sorghum),2026-01-29,1900.0,2026-02-01
Rajasthan,Cereals,Jowar(Sorghum),2026-01-28,2116.05,2026-02-01
Rajasthan,Cereals,Maize,2026-01-30,1562.27,2026-02-01
Rajasthan,Cereals,Maize,2026-01-29,1569.14,2026-02-01
Rajasthan,Cereals,Maize,2026-01-28,1565.17,2026-02-01
Rajasthan,Cereals,Paddy(Common),2026-01-30,3502.0,2026-02-01
Rajasthan,Cereals,Paddy(Common),2026-01-29,3311.0,2026-02-01
Rajasthan,Cereals,Paddy(Common),2026-01-28,3349.98,2026-02-01
Rajasthan,Cereals,Wheat,2026-01-30,2539.72,2026-02-01
Rajasthan,Cereals,Wheat,2026-01-29,2607.01,2026-02-01
Rajasthan,Cereals,Wheat,2026-01-28,2554.84,2026-02-01
Rajasthan,Fibre Crops,Cotton,2026-01-30,7589.79,2026-02-01
Rajasthan,Fibre Crops,Cotton,2026-01-29,7567.72,2026-02-01
Rajasthan,Fibre Crops,Cotton,2026-01-28,7745.18,2026-02-01
Rajasthan,Oil Seeds,Groundnut,2026-01-30,6228.1,2026-02-01
Rajasthan,Oil Seeds,Groundnut,2026-01-29,6343.42,2026-02-01
Rajasthan,Oil Seeds,Groundnut,2026-01-28,6018.36,2026-02-01
Rajasthan,Oil Seeds,Mustard,2026-01-30,6596.31,2026-02-01
Rajasthan,Oil Seeds,Mustard,2026-01-29,6662.51,2026-02-01
Rajasthan,Oil Seeds,Mustard,2026-01-28,6532.71,2026-02-01
Rajasthan,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,9491.63,2026-02-01
Rajasthan,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,14140.48,2026-02-01
Rajasthan,Oil Seeds,Soyabean,2026-01-30,5197.84,2026-02-01
Rajasthan,Oil Seeds,Soyabean,2026-01-29,5072.33,2026-02-01
Rajasthan,Oil Seeds,Soyabean,2026-01-28,5280.11,2026-02-01
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,6980.0,2026-02-01
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-29,6960.0,2026-02-01
Rajasthan,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,6800.0,2026-02-01
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,5358.61,2026-02-01
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,5233.23,2026-02-01
Rajasthan,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,5245.74,2026-02-01
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),2026-01-30,6737.29,2026-02-01
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),2026-01-29,6317.63,2026-02-01
Rajasthan,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,6863.36,2026-02-01
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-30,7030.35,2026-02-01
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-29,7078.18,2026-02-01
Rajasthan,Pulses,Green Gram(Moong)(Whole),2026-01-28,6952.98,2026-02-01
Rajasthan,Pulses,Lentil(Masur)(Whole),2026-01-28,5953.92,2026-02-01
Rajasthan,Vegetables,Onion,2026-01-30,1357.79,2026-02-01
Rajasthan,Vegetables,Onion,2026-01-29,1347.91,2026-02-01
Rajasthan,Vegetables,Onion,2026-01-28,1345.3,2026-02-01
Rajasthan,Vegetables,Potato,2026-01-30,520.5,2026-02-01
Rajasthan,Vegetables,Potato,2026-01-29,533.73,2026-02-01
Rajasthan,Vegetables,Potato,2026-01-28,581.43,2026-02-01
Rajasthan,Vegetables,Tomato,2026-01-30,1161.64,2026-02-01
Rajasthan,Vegetables,Tomato,2026-01-29,1224.59,2026-02-01
Rajasthan,Vegetables,Tomato,2026-01-28,1404.47,2026-02-01
