state,commodity_group,commodity,price_date,price,source_date,price_type
Telangana,Cereals,Maize,2026-02-28,2312.78,2026-03-02,Actual
Telangana,Cereals,Maize,2026-02-27,2300.0,2026-03-02,Actual
Telangana,Cereals,Maize,2026-02-26,2191.65,2026-03-02,Actual
Telangana,Cereals,Paddy(Common),2026-02-28,2399.88,2026-03-02,Actual
Telangana,Cereals,Paddy(Common),2026-02-27,2386.89,2026-03-02,Actual
Telangana,Cereals,Paddy(Common),2026-02-26,2441.69,2026-03-02,Actual
Telangana,Fibre Crops,Cotton,2026-02-28,6054.0,2026-03-02,Actual
Telangana,Fibre Crops,Cotton,2026-02-27,7803.35,2026-03-02,Actual
Telangana,Fibre Crops,Cotton,2026-02-26,7634.62,2026-03-02,Actual
Telangana,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-28,7216.0,2026-03-02,Actual
Telangana,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-27,7420.88,2026-03-02,Actual
Telangana,Pulses,Arhar(Tur/Red Gram)(Whole),2026-02-26,7200.0,2026-03-02,Actual
Telangana,Pulses,Bengal Gram(Gram)(Whole),2026-02-28,5139.0,2026-03-02,Actual
Telangana,Pulses,Green Gram(Moong)(Whole),2026-02-27,5200.0,2026-03-02,Actual
Telangana,Vegetables,Onion,2026-02-28,1074.62,2026-03-02,Actual
Telangana,Vegetables,Onion,2026-02-27,981.89,2026-03-02,Actual
Telangana,Vegetables,Onion,2026-02-26,1213.7,2026-03-02,Actual
Telangana,Vegetables,Potato,2026-02-28,914.55,2026-03-02,Actual
Telangana,Vegetables,Potato,2026-02-27,875.09,2026-03-02,Actual
Telangana,Vegetables,Potato,2026-02-26,852.7,2026-03-02,Actual
Telangana,Vegetables,Tomato,2026-02-28,557.12,2026-03-02,Actual
Telangana,Vegetables,Tomato,2026-02-27,560.05,2026-03-02,Actual
Telangana,Vegetables,Tomato,2026-02-26,697.04,2026-03-02,Actual
