state,commodity_group,commodity,price_date,price,source_date,price_type
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-02-23,2263.58,2026-02-25,Actual
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-02-22,2022.2,2026-02-25,Actual
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-02-21,1859.27,2026-02-25,Actual
Uttar Pradesh,Cereals,Barley(Jau),2026-02-23,2100.0,2026-02-25,Actual
Uttar Pradesh,Cereals,Barley(Jau),2026-02-21,2221.82,2026-02-25,Actual
Uttar Pradesh,Cereals,Jowar(Sorghum),2026-02-21,2061.2,2026-02-25,Actual
Uttar Pradesh,Cereals,Maize,2026-02-23,2250.73,2026-02-25,Actual
Uttar Pradesh,Cereals,Maize,2026-02-22,2174.71,2026-02-25,Actual
Uttar Pradesh,Cereals,Maize,2026-02-21,1749.73,2026-02-25,Actual
Uttar Pradesh,Cereals,Paddy(Common),2026-02-23,2424.43,2026-02-25,Actual
Uttar Pradesh,Cereals,Paddy(Common),2026-02-22,2254.72,2026-02-25,Actual
Uttar Pradesh,Cereals,Paddy(Common),2026-02-21,2239.37,2026-02-25,Actual
Uttar Pradesh,Cereals,Wheat,2026-02-23,2463.55,2026-02-25,Actual
Uttar Pradesh,Cereals,Wheat,2026-02-22,2125.55,2026-02-25,Actual
Uttar Pradesh,Cereals,Wheat,2026-02-21,2442.28,2026-02-25,Actual
Uttar Pradesh,Fibre Crops,Cotton,2026-02-21,12535.4,2026-02-25,Actual
Uttar Pradesh,Oil Seeds,Groundnut,2026-02-23,6200.0,2026-02-25,Actual
Uttar Pradesh,Oil Seeds,Groundnut,2026-02-22,6500.0,2026-02-25,Actual
Uttar Pradesh,Oil Seeds,Groundnut,2026-02-21,6581.21,2026-02-25,Actual
Uttar Pradesh,Oil Seeds,Mustard,2026-02-23,6072.77,2026-02-25,Actual
Uttar Pradesh,Oil Seeds,Mustard,2026-02-22,6248.66,2026-02-25,Actual
Uttar Pradesh,Oil Seeds,Mustard,2026-02-21,6404.32,2026-02-25,Actual
Uttar Pradesh,Oil Seeds,Soyabean,2026-02-23,5200.0,2026-02-25,Actual
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-02-23,5665.0,2026-02-25,Actual
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-02-22,5300.0,2026-02-25,Actual
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-02-23,7254.7,2026-02-25,Actual
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-02-21,8850.0,2026-02-25,Actual
Uttar Pradesh,Pulses,Green Gram(Moong)(Whole),2026-02-21,10043.6,2026-02-25,Actual
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-02-23,7100.0,2026-02-25,Actual
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-02-22,7050.0,2026-02-25,Actual
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-02-21,7061.11,2026-02-25,Actual
Uttar Pradesh,Vegetables,Onion,2026-02-23,1351.01,2026-02-25,Actual
Uttar Pradesh,Vegetables,Onion,2026-02-22,1434.51,2026-02-25,Actual
Uttar Pradesh,Vegetables,Onion,2026-02-21,1118.54,2026-02-25,Actual
Uttar Pradesh,Vegetables,Potato,2026-02-23,484.15,2026-02-25,Actual
Uttar Pradesh,Vegetables,Potato,2026-02-22,622.22,2026-02-25,Actual
Uttar Pradesh,Vegetables,Potato,2026-02-21,486.86,2026-02-25,Actual
Uttar Pradesh,Vegetables,Tomato,2026-02-23,1395.69,2026-02-25,Actual
Uttar Pradesh,Vegetables,Tomato,2026-02-22,1471.44,2026-02-25,Actual
Uttar Pradesh,Vegetables,Tomato,2026-02-21,1335.91,2026-02-25,Actual
