state,commodity_group,commodity,price_date,price,source_date
West Bengal,Cereals,Maize,2026-01-28,2250.0,2026-01-30
West Bengal,Cereals,Maize,2026-01-27,2285.0,2026-01-30
West Bengal,Cereals,Maize,2026-01-26,2275.0,2026-01-30
West Bengal,Cereals,Paddy(Common),2026-01-28,2305.85,2026-01-30
West Bengal,Cereals,Paddy(Common),2026-01-27,2298.26,2026-01-30
West Bengal,Cereals,Paddy(Common),2026-01-26,2249.57,2026-01-30
West Bengal,Cereals,Wheat,2026-01-28,2581.06,2026-01-30
West Bengal,Cereals,Wheat,2026-01-27,2597.39,2026-01-30
West Bengal,Cereals,Wheat,2026-01-26,2657.75,2026-01-30
West Bengal,Oil Seeds,Groundnut,2026-01-28,9500.0,2026-01-30
West Bengal,Oil Seeds,Mustard,2026-01-28,6715.97,2026-01-30
West Bengal,Oil Seeds,Mustard,2026-01-27,6719.54,2026-01-30
West Bengal,Oil Seeds,Mustard,2026-01-26,6566.47,2026-01-30
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,6801.41,2026-01-30
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-27,6801.41,2026-01-30
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-26,6700.0,2026-01-30
West Bengal,Vegetables,Onion,2026-01-28,2062.74,2026-01-30
West Bengal,Vegetables,Onion,2026-01-27,2086.62,2026-01-30
West Bengal,Vegetables,Onion,2026-01-26,2024.84,2026-01-30
West Bengal,Vegetables,Potato,2026-01-28,1037.53,2026-01-30
West Bengal,Vegetables,Potato,2026-01-27,1046.87,2026-01-30
West Bengal,Vegetables,Potato,2026-01-26,1071.36,2026-01-30
West Bengal,Vegetables,Tomato,2026-01-28,2854.59,2026-01-30
West Bengal,Vegetables,Tomato,2026-01-27,3063.13,2026-01-30
West Bengal,Vegetables,Tomato,2026-01-26,2813.44,2026-01-30
