state,commodity_group,commodity,price_date,price,source_date
West Bengal,Cereals,Maize,2026-01-29,2275.0,2026-01-31
West Bengal,Cereals,Maize,2026-01-28,2250.0,2026-01-31
West Bengal,Cereals,Maize,2026-01-27,2285.0,2026-01-31
West Bengal,Cereals,Paddy(Common),2026-01-29,2294.88,2026-01-31
West Bengal,Cereals,Paddy(Common),2026-01-28,2305.85,2026-01-31
West Bengal,Cereals,Paddy(Common),2026-01-27,2298.26,2026-01-31
West Bengal,Cereals,Wheat,2026-01-29,2712.69,2026-01-31
West Bengal,Cereals,Wheat,2026-01-28,2581.06,2026-01-31
West Bengal,Cereals,Wheat,2026-01-27,2597.39,2026-01-31
West Bengal,Oil Seeds,Groundnut,2026-01-29,9600.0,2026-01-31
West Bengal,Oil Seeds,Groundnut,2026-01-28,9500.0,2026-01-31
West Bengal,Oil Seeds,Mustard,2026-01-29,6745.73,2026-01-31
West Bengal,Oil Seeds,Mustard,2026-01-28,6715.97,2026-01-31
West Bengal,Oil Seeds,Mustard,2026-01-27,6719.54,2026-01-31
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,6749.23,2026-01-31
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,6801.41,2026-01-31
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-27,6801.41,2026-01-31
West Bengal,Vegetables,Onion,2026-01-29,2006.64,2026-01-31
West Bengal,Vegetables,Onion,2026-01-28,2062.74,2026-01-31
West Bengal,Vegetables,Onion,2026-01-27,2086.62,2026-01-31
West Bengal,Vegetables,Potato,2026-01-29,1015.03,2026-01-31
West Bengal,Vegetables,Potato,2026-01-28,1037.53,2026-01-31
West Bengal,Vegetables,Potato,2026-01-27,1046.87,2026-01-31
West Bengal,Vegetables,Tomato,2026-01-29,2392.63,2026-01-31
West Bengal,Vegetables,Tomato,2026-01-28,2854.59,2026-01-31
West Bengal,Vegetables,Tomato,2026-01-27,3063.13,2026-01-31
