,,,,Marketwise Price & Arrival Report (13-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 13 Feb, 2026","Price on 12 Feb, 2026","Price on 11 Feb, 2026","Arrival on 13 Feb, 2026","Arrival on 12 Feb, 2026","Arrival on 11 Feb, 2026"
Fibre Crops,Cotton,7710.00,7789.00,-,7659.00,875.00,-,678.00
Oil Seeds,Groundnut,7263.00,8389.00,5001.00,8338.00,1491.00,20.00,706.00
Oil Seeds,Sunflower Seed,6760.00,5602.00,-,6253.00,7.00,-,6.00
Pulses,Bengal Gram(Gram)(Whole),5650.00,5256.00,-,5211.00,18.00,-,20.00
Vegetables,Potato,-,1700.00,1700.00,1700.00,1.76,1.60,1.60
Vegetables,Tomato,-,1191.39,1178.26,1432.57,151.00,158.68,128.20

