,,,,Marketwise Price & Arrival Report (28-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 28 Mar, 2026","Price on 27 Mar, 2026","Price on 26 Mar, 2026","Arrival on 28 Mar, 2026","Arrival on 27 Mar, 2026","Arrival on 26 Mar, 2026"
Cereals,Paddy(Common),2369.00,2369.18,2369.00,2369.00,3681.10,3430.20,3163.90
Fibre Crops,Cotton,7710.00,8389.00,-,8269.00,1226.00,-,1379.00
Oil Seeds,Groundnut,7263.00,7299.00,-,7449.00,4504.00,-,3846.00
Oil Seeds,Sunflower Seed,6760.00,-,-,6051.00,-,-,5.00
Pulses,Bengal Gram(Gram)(Whole),5875.00,-,-,4676.00,-,-,13.00
Vegetables,Potato,-,-,-,1200.00,-,-,1.92
Vegetables,Tomato,-,1012.89,949.51,949.56,321.90,247.58,254.38

