,,,,Marketwise Price & Arrival Report (19-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 19 Feb, 2026","Price on 18 Feb, 2026","Price on 17 Feb, 2026","Arrival on 19 Feb, 2026","Arrival on 18 Feb, 2026","Arrival on 17 Feb, 2026"
Cereals,Maize,2400.00,-,-,1600.00,-,-,1.20
Cereals,Paddy(Common),2369.00,-,-,2100.00,-,-,1.50
Oil Seeds,Mustard,5950.00,-,-,6400.00,-,-,1.20
Pulses,Lentil(Masur)(Whole),6700.00,9923.53,9441.67,9134.62,102.00,120.00,130.00
Vegetables,Onion,-,2372.29,2471.51,2542.30,530.50,509.00,490.50
Vegetables,Potato,-,1127.06,1165.61,1206.50,680.00,618.00,611.00
Vegetables,Tomato,-,2271.80,2240.88,2400.86,85.10,70.70,70.00

