,,,,Marketwise Price & Arrival Report (29-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 29 Jan, 2026","Price on 28 Jan, 2026","Price on 27 Jan, 2026","Arrival on 29 Jan, 2026","Arrival on 28 Jan, 2026","Arrival on 27 Jan, 2026"
Cereals,Paddy(Common),2369.00,-,-,2050.00,-,-,5.50
Oil Seeds,Mustard,5950.00,-,-,6500.00,-,-,0.30
Pulses,Lentil(Masur)(Whole),6700.00,8983.33,9150.46,8831.82,84.00,109.00,110.00
Vegetables,Onion,-,2711.84,2900.00,2786.24,532.00,390.00,407.00
Vegetables,Potato,-,1290.39,1259.11,1269.65,775.50,546.00,572.50
Vegetables,Tomato,-,2926.57,2805.46,3025.18,122.70,95.30,69.50

