,,,,Marketwise Price & Arrival Report (22-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 22 Feb, 2026","Price on 21 Feb, 2026","Price on 20 Feb, 2026","Arrival on 22 Feb, 2026","Arrival on 21 Feb, 2026","Arrival on 20 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,-,2395.68,2520.30,-,173.52,52.23
Cereals,Jowar(Sorghum),3699.00,-,4961.84,5017.19,-,41.79,151.89
Cereals,Maize,2400.00,-,-,2155.00,-,-,0.10
Cereals,Paddy(Common),2369.00,-,2303.74,2331.10,-,34.69,52.34
Cereals,Wheat,2425.00,-,2465.74,2391.07,-,2124.81,2359.37
Fibre Crops,Cotton,7710.00,-,7716.30,7759.98,-,2763.47,3099.72
Oil Seeds,Groundnut,7263.00,-,6929.88,6872.64,-,187.30,280.42
Oil Seeds,Mustard,5950.00,-,6162.59,6164.64,-,2757.21,2292.82
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,8584.98,9278.63,-,49.69,75.12
Oil Seeds,Soyabean,5328.00,-,4764.42,4942.73,-,53.40,73.70
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,7502.88,7316.72,-,1705.29,920.49
Pulses,Bengal Gram(Gram)(Whole),5650.00,-,5329.56,5344.78,-,333.90,350.25
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,7122.40,7327.25,-,27.25,29.09
Pulses,Green Gram(Moong)(Whole),8768.00,-,7269.92,7244.37,-,6.15,7.10
Vegetables,Onion,-,1116.19,1024.46,853.52,348.18,8258.96,2977.50
Vegetables,Potato,-,863.02,889.19,894.04,1083.60,1767.78,1779.03
Vegetables,Tomato,-,969.19,989.95,969.74,443.94,609.54,742.90

