,,,,Marketwise Price & Arrival Report (26-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 26 Feb, 2026","Price on 25 Feb, 2026","Price on 24 Feb, 2026","Arrival on 26 Feb, 2026","Arrival on 25 Feb, 2026","Arrival on 24 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2401.74,2438.01,2384.40,240.46,149.25,131.98
Cereals,Jowar(Sorghum),3699.00,4829.10,4788.31,4960.57,101.17,188.11,34.67
Cereals,Maize,2400.00,1855.00,2000.00,2302.50,0.30,0.10,0.28
Cereals,Paddy(Common),2369.00,2308.53,2335.71,2288.27,44.69,37.53,20.28
Cereals,Wheat,2425.00,2456.07,2412.39,2483.82,4552.15,3063.10,4446.60
Fibre Crops,Cotton,7710.00,7727.62,7673.63,7741.14,3300.33,3098.85,3437.88
Oil Seeds,Groundnut,7263.00,6712.58,6788.51,7106.63,128.40,126.92,348.95
Oil Seeds,Mustard,5950.00,6060.53,6078.93,5984.95,4294.52,4147.95,7006.57
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9136.74,8418.86,9301.38,44.53,57.76,67.79
Oil Seeds,Soyabean,5328.00,4895.34,4861.23,4962.14,89.20,52.70,60.40
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7240.71,7160.99,7437.99,1214.45,385.10,721.03
Pulses,Bengal Gram(Gram)(Whole),5650.00,5351.44,5233.95,5301.73,917.01,876.99,924.69
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7525.70,7323.17,7112.71,29.75,21.65,44.64
Pulses,Green Gram(Moong)(Whole),8768.00,6760.78,6590.04,6822.18,9.30,4.80,10.45
Vegetables,Onion,-,986.15,1012.52,1060.31,10701.57,10233.32,11193.25
Vegetables,Potato,-,784.30,776.72,831.51,2262.70,2043.86,1728.92
Vegetables,Tomato,-,908.34,880.66,951.36,748.44,743.42,794.57

