,,,,Marketwise Price & Arrival Report (16-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 16 Feb, 2026","Price on 15 Feb, 2026","Price on 14 Feb, 2026","Arrival on 16 Feb, 2026","Arrival on 15 Feb, 2026","Arrival on 14 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1850.00,-,1850.00,9.00,-,2.80
Cereals,Paddy(Common),2369.00,4151.47,4450.00,-,264.00,137.00,-
Fibre Crops,Cotton,7710.00,7304.59,-,7238.66,149.30,-,170.40
Oil Seeds,Mustard,5950.00,5903.76,-,6100.00,50.20,-,8.80
Oil Seeds,Toria,4650.00,6111.00,-,-,19.40,-,-
Vegetables,Onion,-,1495.24,1377.42,1423.38,123.61,151.70,41.85
Vegetables,Potato,-,547.26,657.97,611.13,409.11,182.37,158.20
Vegetables,Tomato,-,1488.65,1586.76,1405.43,113.34,67.73,47.90

