,,,,Marketwise Price & Arrival Report (29-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 29 Jan, 2026","Price on 28 Jan, 2026","Price on 27 Jan, 2026","Arrival on 29 Jan, 2026","Arrival on 28 Jan, 2026","Arrival on 27 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1850.00,2000.00,1900.00,10.00,1.00,1.70
Cereals,Paddy(Common),2369.00,4046.15,4260.54,3431.07,142.00,126.00,58.90
Cereals,Wheat,2425.00,-,-,2600.00,-,-,1.00
Fibre Crops,Cotton,7710.00,7620.00,7628.29,7599.74,417.50,351.40,243.85
Oil Seeds,Mustard,5950.00,-,6221.95,-,-,2.10,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,-,5318.00,-,-,15.80,-
Pulses,Green Gram(Moong)(Whole),8768.00,-,6545.00,-,-,1.00,-
Vegetables,Onion,-,1713.43,1703.51,1630.11,123.68,132.72,106.49
Vegetables,Potato,-,663.65,679.12,675.99,333.86,215.75,241.19
Vegetables,Tomato,-,2101.27,2448.02,2196.64,116.43,89.66,78.29

