,,,,Marketwise Price & Arrival Report (24-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 24 Jan, 2026","Price on 23 Jan, 2026","Price on 22 Jan, 2026","Arrival on 24 Jan, 2026","Arrival on 23 Jan, 2026","Arrival on 22 Jan, 2026"
Cereals,Jowar(Sorghum),3699.00,-,4330.00,-,-,0.40,-
Cereals,Maize,2400.00,-,1847.00,1830.00,-,118.30,95.50
Cereals,Paddy(Common),2369.00,-,2527.37,2531.26,-,153.50,89.60
Fibre Crops,Cotton,7710.00,-,7800.00,7795.79,-,1187.30,1673.30
Oil Seeds,Groundnut,7263.00,-,7989.00,8619.00,-,10.50,16.90
Oil Seeds,Soyabean,5328.00,-,-,5000.00,-,-,25.40
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,7979.00,-,-,837.90,-

